Result_Id,Correct_File,Guessed_File,Filename_Match,Correct_Pages,Guessed_Page,Page_Match,Distance,Text_Match_Start_Percent,Match_Length_Start,Text_Match_End_Percent,Match_Length_End,No_match,Match_Threshold,Difficulty,Category,Expected_answer,Question,Returned_Chunk,Chunk_Id,LLM_ANS
DC_4491_001R1,4491_bilaga_villkor_2025-06-17,4491_bilaga_villkor_2025-06-17,True,[1],1,True,0.3381493091583252,27.083333333333332,13,0.0,0,False,False,Easy,Mavrik,Från och med 2025-06-17 Till och med 2028-01-31. Tabell: 1_no_title,Vad är giltighetstiden för produktgodkännandet av Mavrik?,"                                       BESLUTSBILAGA

                                                                      Beslutsdatum                   Diarienr
                                                     2025-06-17            5.1.1-B25-00218

                                                                 Produktnamn                 Aktnr         Regnr
                                                   Mavrik               F-1759    4491




Bilaga 1 ‒ Villkor för förnyat och/eller ändrat produktgodkännande
De uppgifter som har ändrats sedan föregående prövning är markerade med ett [X] till höger på samma
rad.

                                                                                                    Ändring

 Typ av bekämpningsmedel     Växtskyddsmedel
 Produktnamn               Mavrik

 Registreringsnummer        4491

 Behörighetsklass            2 L
 Giltighetstid                      Från och med                                          Till och med               X
                          2025-06-17                    2028-01-31
 Innehavare          ADAMA Registrations B.V.
                          P.O. Box. 355
                       NL-3830 AK Leusden
                NEDERLÄNDERNA
 Ombud                            ---
 Funktion               IN – Insekticid
 Produktkod             MCW-5022

 Beredningsform            EW-Emulsion, olja i vatten

 Förpackningsvillkor        Upp till 5 L HDPE-förpackningar.

 Märkningskrav                 Sista användningsdag vid rekommenderade lagringsförhållanden
                            ska anges i märkningen.
                    Av märkningen ska framgå att hållbarheten är begränsad och att
                                  sista användningsdag är 2 år efter tillverkning.
                       SP1 Förorena inte vatten med produkten eller dess behållare.



Verksamma ämnen                          Cas-nr              Halt  Enhet   Kandidat-      Lågrisk-   Ändring
                                                            ämne       ämne
                                                                                           för
                                                                                      substitution
Tau-fluvalinat                        102851-06-9    240  g/l



Upplysningar

 ---





Mall-id: RSP-0002-S_Vaxt, 2020-12-18

                                                   1(",4491_Bilaga_Villkor_2025-06-17.pdf_chunk1,No LLM answer
DC_4491_001R2,4491_bilaga_villkor_2025-06-17,4491_bilaga_villkor_för_användning_2025-06-17,False,[1],1,False,0.41357338428497314,0.0,0,0.0,0,True,False,Easy,Mavrik,Från och med 2025-06-17 Till och med 2028-01-31. Tabell: 1_no_title,Vad är giltighetstiden för produktgodkännandet av Mavrik?,"                                                                              Beslutsbilaga 3
                                                                         Datum: 2025-06-17          Regnr: 4491
                                                                                          Aktnr: F-1759                  Diarienr: 5.1.1-B25-00218


Villkor för användning av Mavrik
De beslutade villkoren riktar sig till innehavaren av produktgodkännandet. Ändringar sedan förra produktgodkännandet är markerade med X.
Som användare är du skyldig att följa växtskyddsmedlets etikett och bruksanvisning.

Användning och syfte

 Gröda/           Var/       Syfte          Behandlings-      Utvecklings-     Max antal    Minst antal        Minst antal     Max dos vid en enskild          Övriga villkor och      Ändring
  situation        område                    utrustning/        stadium/          behand-     dagar mellan      dagar mellan    behandling på den yta som       förtydliganden
                                     metod             tidpunkt             lingar         varje behandling    sista            behandlas
                                                                                                             behandling      Produkt     Verksamt ämne
                                                                                                  och skörd

 Höstvete,             Mot         Bomspruta    BBCH 10–75    3 per      10            30             0,2 L/ha    48 g tau-      Max 1 applicering
 höstråg,                  insekts-                                  säsong                                                         fluvalinat/ha     på hösten och 2
 höstrågvete            angrepp                                                                                                                      appliceringar på
 och höstkorn                                                                                                                             våren
 Vårvete,              Mot         Bomspruta    BBCH 10–75    2 per år    10            30             0,2 L/ha    48 g tau-
 vårråg,                    insekts-                                                                                                              fluvalinat/ha
 vårrågvete,             angrepp
 vårkorn och
 havre
 Lin, raps och           Mot         Bomspruta    BBCH 10–19    1 per år                  60             0,2 L/ha    48 g tau-
 ry",4491_Bilaga_Villkor_för_användning_2025-06-17.pdf_chunk1,No LLM answer
DC_4491_001R3,4491_bilaga_villkor_2025-06-17,5310_beslut_anstånd_2022-10-01,False,[1],"1,2",False,0.4927685856819153,0.0,0,0.0,0,True,False,Easy,Mavrik,Från och med 2025-06-17 Till och med 2028-01-31. Tabell: 1_no_title,Vad är giltighetstiden för produktgodkännandet av Mavrik?,"EG) nr 1107/20091.
           Anståndsperioden får inte överstiga sex månader för försäljning och distribution
          samt ytterligare högst ett år för att befintliga lager av växtskyddsmedlet ska
             bortskaffas, lagras och användas.

         Mot bakgrund av ovanstående beviljar vi anstånd för utfasning av er produkt med
            registreringsnummer 5310.
     2019-06-18
    MAP-0096,
    Mall-id:
                 1 Europaparlamentets och rådets förordning (EG) nr 1107/2009 av den 21 oktober 2009 om
             utsläppande av växtskyddsmedel på marknaden och om upphävande av rådets direktiv 79/117/EEG
            och 91/414/EEG.


Kemikalieinspektionen

Postadress              Besök & leverans          Faktureringsadress     Telefon & fax                 Internet        Org nr
Box 2                   Esplanaden 3A           FE 124                 Telefon 08-519 41 100      www.kemi.se    202100-3880
172 13 Sundbyberg      172 67 Sundbyberg       838 80 Frösön        Fax 08-735 76 98          kemi@kemi.se Kemikalieinspektionen
                                       BESLUT
                                                            Datum                            Diarienr
                                                      2022-07-07             5.1.1-B18-00517
                                                                            Er referens                     Aktnr       Regnr
                                                                         F-3992   5310

       4          Återkallelseförbehåll
           Beviljade anståndsperioder kan komma att återkallas eller ändras på grund av ett nytt
           beslut som gäller produktens innehåll.

       5         Upplysningar
         Notera att om ni någon gång under ett kalenderår har innehaft ett
         produktgodkännande för ett växtskyddsmedel ska ni lämna mängduppgifter till
          Kemikalieinspektionen. Lämna",5310_Beslut_Anstånd_2022-10-01.pdf_chunk2,No LLM answer
DC_4491_001R4,4491_bilaga_villkor_2025-06-17,5313_bilaga_villkor_2025-06-16,False,[1],1,False,0.4998857378959656,27.083333333333332,13,0.0,0,False,False,Easy,Mavrik,Från och med 2025-06-17 Till och med 2028-01-31. Tabell: 1_no_title,Vad är giltighetstiden för produktgodkännandet av Mavrik?,"                                       BESLUTSBILAGA

                                                                      Beslutsdatum                   Diarienr
                                                     2025-06-16            5.1.1-B25-00293

                                                                 Produktnamn                 Aktnr         Regnr
                                      RAK3+4             F-4408    5313




Bilaga 1 ‒ Villkor för förnyat och/eller ändrat produktgodkännande
De uppgifter som har ändrats sedan föregående prövning är markerade med ett [X] till höger på samma
rad.

                                                                                                    Ändring

 Typ av bekämpningsmedel     Växtskyddsmedel
 Produktnamn           RAK3+4

 Registreringsnummer        5313

 Behörighetsklass            2 L
 Giltighetstid                      Från och med                                          Till och med               X
                          2025-06-16                    2027-09-30
 Innehavare            BASF AB
                      Box 7144
                        402 33 Göteborg
 Ombud               BASF A/S
                        Kalvebod Brygge 45, 2
                      DK-1560 København V
                DANMARK
 Funktion             AT – Attrahent (attraktant)
                    IN – Insekticid
 Produktkod            BAS 295 02 I

 Beredningsform             VP-Preparat som avger verksam beståndsdel i gasform

 Förpackningsvillkor           Dispenser av etylen-vinylacetat co-polymer (EVA) med två
                        kammare. Max 3 mL vardera. Ytterförpackning i form av LDPE
                               foliepåse.
 Märkningskrav           Av märkningen ska framgå att hållbarheten är begränsad och att
                                  sista användningsdag vid rekommenderade lagringsförhållanden
                               är 12 månader efter tillverkningsdatum.
                    Av märkningen ska framgå att produkten inte får förvaras i en
                           temperatur som överstiger -18°C.
                    Av märkningen ska framgå att ampullerna ska förvaras i
                          obruten",5313_Bilaga_Villkor_2025-06-16.pdf_chunk1,No LLM answer
DC_4491_001R5,4491_bilaga_villkor_2025-06-17,5584_bilaga_villkor_2025-06-25,False,[1],1,False,0.5047729015350342,27.083333333333332,13,0.0,0,False,False,Easy,Mavrik,Från och med 2025-06-17 Till och med 2028-01-31. Tabell: 1_no_title,Vad är giltighetstiden för produktgodkännandet av Mavrik?,"                                       BESLUTSBILAGA

                                                                      Beslutsdatum                   Diarienr
                                                     2025-06-25            5.1.1-B25-00259

                                                                 Produktnamn                 Aktnr         Regnr
                                                        Revystar XL          F-4650    5584




Bilaga 1 ‒ Villkor för förnyat och/eller ändrat produktgodkännande
De uppgifter som har ändrats sedan föregående prövning är markerade med ett [X] till höger på samma
rad.

                                                                                                    Ändring

 Typ av bekämpningsmedel     Växtskyddsmedel
 Produktnamn                Revystar XL

 Registreringsnummer        5584

 Behörighetsklass            2 L
 Giltighetstid                      Från och med                                          Till och med               X
                          2025-06-25                    2026-05-31
 Innehavare            BASF AB
                      Box 7144
                        402 33 Göteborg
 Ombud               BASF A/S
                        Kalvebod Brygge 45, 2
                      DK-1560 København V
                DANMARK
 Funktion             FU – Fungicid
 Produktkod            BAS 752 00 F

 Beredningsform             EC-Emulgerbart koncentrat

 Förpackningsvillkor          HDPE-förpackning max 50 L

 Märkningskrav            SP1 Förorena inte vatten med produkten eller dess behållare.
                            Mefentriflukonazol ger upphov till bildandet av 1,2,4-triazol.



Verksamma ämnen                          Cas-nr              Halt  Enhet   Kandidat-      Lågrisk-   Ändring
                                                            ämne       ämne
                                                                                           för
                                                                                      substitution
Mefentriflukonazol                    1417782-03-    100  g/l
                                   6
Fluxapyroxad                         907204-31-3     50  g/l



Upplysningar

 ---





Mall-id: RSP-0002-S_Vaxt, 2020-12-18

                                                   1",5584_Bilaga_Villkor_2025-06-25.pdf_chunk1,No LLM answer
DC_4491_002R1,4491_bilaga_villkor_för_användning_2025-06-17,4491_bilaga_villkor_för_användning_2025-06-17,True,"[1, 2, 3]",1,True,0.3807421922683716,0.0,0,18.0,9,False,False,Easy,Mavrik,"Tabell: Användning och syfte, Col: Gröda/situation",Vilka grödor får Mavrik användas på?,"                                                                              Beslutsbilaga 3
                                                                         Datum: 2025-06-17          Regnr: 4491
                                                                                          Aktnr: F-1759                  Diarienr: 5.1.1-B25-00218


Villkor för användning av Mavrik
De beslutade villkoren riktar sig till innehavaren av produktgodkännandet. Ändringar sedan förra produktgodkännandet är markerade med X.
Som användare är du skyldig att följa växtskyddsmedlets etikett och bruksanvisning.

Användning och syfte

 Gröda/           Var/       Syfte          Behandlings-      Utvecklings-     Max antal    Minst antal        Minst antal     Max dos vid en enskild          Övriga villkor och      Ändring
  situation        område                    utrustning/        stadium/          behand-     dagar mellan      dagar mellan    behandling på den yta som       förtydliganden
                                     metod             tidpunkt             lingar         varje behandling    sista            behandlas
                                                                                                             behandling      Produkt     Verksamt ämne
                                                                                                  och skörd

 Höstvete,             Mot         Bomspruta    BBCH 10–75    3 per      10            30             0,2 L/ha    48 g tau-      Max 1 applicering
 höstråg,                  insekts-                                  säsong                                                         fluvalinat/ha     på hösten och 2
 höstrågvete            angrepp                                                                                                                      appliceringar på
 och höstkorn                                                                                                                             våren
 Vårvete,              Mot         Bomspruta    BBCH 10–75    2 per år    10            30             0,2 L/ha    48 g tau-
 vårråg,                    insekts-                                                                                                              fluvalinat/ha
 vårrågvete,             angrepp
 vårkorn och
 havre
 Lin, raps och           Mot         Bomspruta    BBCH 10–19    1 per år                  60             0,2 L/ha    48 g tau-
 ry",4491_Bilaga_Villkor_för_användning_2025-06-17.pdf_chunk1,No LLM answer
DC_4491_002R2,4491_bilaga_villkor_för_användning_2025-06-17,4491_bilaga_villkor_2025-06-17,False,"[1, 2, 3]",1,False,0.44515275955200195,0.0,0,10.0,5,False,False,Easy,Mavrik,"Tabell: Användning och syfte, Col: Gröda/situation",Vilka grödor får Mavrik användas på?,"                                       BESLUTSBILAGA

                                                                      Beslutsdatum                   Diarienr
                                                     2025-06-17            5.1.1-B25-00218

                                                                 Produktnamn                 Aktnr         Regnr
                                                   Mavrik               F-1759    4491




Bilaga 1 ‒ Villkor för förnyat och/eller ändrat produktgodkännande
De uppgifter som har ändrats sedan föregående prövning är markerade med ett [X] till höger på samma
rad.

                                                                                                    Ändring

 Typ av bekämpningsmedel     Växtskyddsmedel
 Produktnamn               Mavrik

 Registreringsnummer        4491

 Behörighetsklass            2 L
 Giltighetstid                      Från och med                                          Till och med               X
                          2025-06-17                    2028-01-31
 Innehavare          ADAMA Registrations B.V.
                          P.O. Box. 355
                       NL-3830 AK Leusden
                NEDERLÄNDERNA
 Ombud                            ---
 Funktion               IN – Insekticid
 Produktkod             MCW-5022

 Beredningsform            EW-Emulsion, olja i vatten

 Förpackningsvillkor        Upp till 5 L HDPE-förpackningar.

 Märkningskrav                 Sista användningsdag vid rekommenderade lagringsförhållanden
                            ska anges i märkningen.
                    Av märkningen ska framgå att hållbarheten är begränsad och att
                                  sista användningsdag är 2 år efter tillverkning.
                       SP1 Förorena inte vatten med produkten eller dess behållare.



Verksamma ämnen                          Cas-nr              Halt  Enhet   Kandidat-      Lågrisk-   Ändring
                                                            ämne       ämne
                                                                                           för
                                                                                      substitution
Tau-fluvalinat                        102851-06-9    240  g/l



Upplysningar

 ---





Mall-id: RSP-0002-S_Vaxt, 2020-12-18

                                                   1(",4491_Bilaga_Villkor_2025-06-17.pdf_chunk1,No LLM answer
DC_4491_002R3,4491_bilaga_villkor_för_användning_2025-06-17,5584_bilaga_villkor_för_användning_2025-06-25,False,"[1, 2, 3]",1,False,0.5364052057266235,0.0,0,18.0,9,False,False,Easy,Mavrik,"Tabell: Användning och syfte, Col: Gröda/situation",Vilka grödor får Mavrik användas på?,"                                                                              Beslutsbilaga 3
                                                                         Datum: 2025-06-25          Regnr: 5584
                                                                                          Aktnr: F-4650                  Diarienr: 5.1.1-B25-00259


Villkor för användning av Revystar XL
De beslutade villkoren riktar sig till innehavaren av produktgodkännandet. Ändringar sedan förra produktgodkännandet är markerade med X.
Som användare är du skyldig att följa växtskyddsmedlets etikett och bruksanvisning.

Användning och syfte

 Gröda/         Var/        Syfte            Behandlings-     Utvecklings-     Max antal    Minst antal     Minst antal    Max dos vid en enskild behandling     Övriga villkor och      Ändring
  situation      område                       utrustning/       stadium/          behand-     dagar         dagar        på den yta som behandlas             förtydliganden
                                      metod            tidpunkt             lingar        mellan varje   mellan sista
                                                                                          behandling    behandling    Produkt     Verksamt ämne
                                                                                               och skörd

 Vete, korn          Mot svamp-  Bomspruta  BBCH 30–69  2 per år      14        35      1,5 L/ha  150 g               Totala maximala
 och                angrepp                                                                                   mefentriflukonazol  dosen får inte
 rågvete                                                                                                        /ha                 överskrida 1,5
                                                                                                                              L/ha och år.
 Höstråg             Mot svamp-   Bomspruta  BBCH 30–69  1 per år                  35      1,5 L/ha  150 g
                      angrepp                                                                                    mefentriflukonazol
                                                                                                                /ha
 Havre              Mot svamp-  Bomspruta  BBCH 30–69  1 per år                35      1,5 L/ha  150 g
                    angrepp                                                                                   mefentriflukonazol
                                                                                                                /ha
 Socker-",5584_Bilaga_Villkor_för_användning_2025-06-25.pdf_chunk1,No LLM answer
DC_4491_002R4,4491_bilaga_villkor_för_användning_2025-06-17,4491_bilaga_villkor_för_användning_2025-06-17,True,"[1, 2, 3]",2,True,0.551700234413147,0.0,0,0.0,0,True,False,Easy,Mavrik,"Tabell: Användning och syfte, Col: Gröda/situation",Vilka grödor får Mavrik användas på?,"orkade                   insekts-                                                                                                            fluvalinat/ha
                      angrepp
Huvudkål,             Mot         Bomspruta    BBCH 10–49    1 per år                  7              0,3 L/ha   72 g tau-
brysselkål,                insekts-                                                                                                            fluvalinat/ha
blomkål och            angrepp
broccoli
Äpple och             Mot          Fläktspruta    BBCH 52–79    2 per år    10            30             0,3 L/ha   72 g tau-
päron                     insekts-                                                                                                            fluvalinat/ha
                      angrepp
Morot                Mot         Bomspruta    BBCH 10–45    2 per år    10            14             0,3 L/ha   72 g tau-         Antalet behand-
                        morots-                                                                                                            fluvalinat/ha      lingar per år med
                        bladloppa                                                                                            denna produkt får
                                                                                                                                                                     aldrig vara fler än
                                                                                                                                                                     två, oavsett om du
                                                                                                                                                                                        följer produktens
                                                                                                                                                                                etikett och
                                                                                                                                             bruksanvisning
                                                                                                                                                                                eller användnings-
                                                                                                                                                                     villkoren i det
                                                                                                                                           utvidgade
                                                                                                                                                  produkt-
                                                                                                                               godkännandet för
                                                                                                                                    mindre använd-
                                                                                                                                     ningsområde.
Socker-,              Mot         Bomspruta    BBCH 09–39    2 per år    10            14             0,2 L/ha   48 g tau-         Antalet behand-
foder- och                betfluga                                                                                                            fluvalinat/ha      lingar per år med
rödbetor              (Pegomya                                                                                           denna produkt får
                       hyoscyami)                                                                                                                            aldrig vara fler än
                     och                                                                                                                                     två, oavsett om du
                         betbladlus                                                                                                                                            följer produktens
                        (Aphis                                                                                                                                          etikett och
                        fabae)                                                                                                               bruksanvisning
                                                                                                                                                                                eller användnings-
                                                                                                                                                                     villkoren i det
                                                                                                                                           utvidgade


                                                                                                                                    2",4491_Bilaga_Villkor_för_användning_2025-06-17.pdf_chunk3,No LLM answer
DC_4491_002R5,4491_bilaga_villkor_för_användning_2025-06-17,5345_beslut_villkor_för_användning_2025-06-24,False,"[1, 2, 3]",1,False,0.5622770190238953,0.0,0,18.0,9,False,False,Easy,Mavrik,"Tabell: Användning och syfte, Col: Gröda/situation",Vilka grödor får Mavrik användas på?,"                                                                              Beslutsbilaga 3
                                                                         Datum: 2025-06-24          Regnr: 5345
                                                                                          Aktnr: F-4507                  Diarienr: 5.1.1-B25-00258


Villkor för användning av Priaxor
De beslutade villkoren riktar sig till innehavaren av produktgodkännandet. Ändringar sedan förra produktgodkännandet är markerade med X.
Som användare är du skyldig att följa växtskyddsmedlets etikett och bruksanvisning.

Användning och syfte

 Gröda/           Var/        Syfte        Behandlings-     Utvecklings-    Max antal      Minst antal        Minst antal    Max dos vid en enskild behandling på      Övriga villkor      Ändring
  situation        område                   utrustning/       stadium/        behand-       dagar mellan      dagar        den yta som behandlas                 och
                                    metod            tidpunkt           lingar           varje behandling   mellan sista                                               förtydliganden
                                                                                                          behandling    Produkt    Verksamt ämne
                                                                                                och skörd

 Vete, korn,            Mot       Bomspruta   BBCH 30–69  2 per år           7           35       1,5L/ha   112,5 g fluxapyroxad/ha   Den totala
 råg, rågvete            svamp-                                                                           225 g pyraklostrobin/ha    maximala
 och havre              angrepp                                                                                                   dosen får inte
                                                                                                                                                           överstiga 1,5 L
                                                                                                                                                          produkt/ha.

Ytterligare villkor

 Kategori                           Villkor                                                                                         Anmärkning                                  Ändring

 Anpassade                   Ett anpassat skyddsavstånd ska bestämmas med hjälp av ”Hjälpreda vid bestämning av               Villkoret är till för att skydda
 skyddsavstånd vid        anpassade skyddsavstånd. Lantbruksspruta med bom”.                                          vattenlevande organismer.
 spridning
 Personlig                Sky",5345_Beslut_Villkor_för_användning_2025-06-24.pdf_chunk1,No LLM answer
