Result_Id,Correct_File,Guessed_File,Filename_Match,Correct_Pages,Guessed_Page,Page_Match,Distance,Text_Match_Start_Percent,Match_Length_Start,Text_Match_End_Percent,Match_Length_End,No_match,Match_Threshold,Difficulty,Category,Expected_answer,Question,Returned_Chunk,Chunk_Id,LLM_ANS
DC_4491_001R1,4491_bilaga_villkor_2025-06-17,4491_bilaga_villkor_2025-06-17,True,[1],"1,2",True,0.4612462520599365,27.083333333333332,13,0.0,0,False,False,Easy,Mavrik,Från och med 2025-06-17 Till och med 2028-01-31. Tabell: 1_no_title,Vad är giltighetstiden för produktgodkännandet av Mavrik?,"BESLUTSBILAGA

                                                                      Beslutsdatum                   Diarienr
                                                     2025-06-17            5.1.1-B25-00218

                                                                 Produktnamn                 Aktnr         Regnr
                                                   Mavrik               F-1759    4491




Bilaga 1 ‒ Villkor för förnyat och/eller ändrat produktgodkännande
De uppgifter som har ändrats sedan föregående prövning är markerade med ett [X] till höger på samma
rad.

                                                                                                    Ändring

 Typ av bekämpningsmedel     Växtskyddsmedel
 Produktnamn               Mavrik

 Registreringsnummer        4491

 Behörighetsklass            2 L
 Giltighetstid                      Från och med                                          Till och med               X
                          2025-06-17                    2028-01-31
 Innehavare          ADAMA Registrations B.V.
                          P.O. Box. 355
                       NL-3830 AK Leusden
                NEDERLÄNDERNA
 Ombud                            ---
 Funktion               IN – Insekticid
 Produktkod             MCW-5022

 Beredningsform            EW-Emulsion, olja i vatten

 Förpackningsvillkor        Upp till 5 L HDPE-förpackningar.

 Märkningskrav                 Sista användningsdag vid rekommenderade lagringsförhållanden
                            ska anges i märkningen.
                    Av märkningen ska framgå att hållbarheten är begränsad och att
                                  sista användningsdag är 2 år efter tillverkning.
                       SP1 Förorena inte vatten med produkten eller dess behållare.



Verksamma ämnen                          Cas-nr              Halt  Enhet   Kandidat-      Lågrisk-   Ändring
                                                            ämne       ämne
                                                                                           för
                                                                                      substitution
Tau-fluvalinat                        102851-06-9    240  g/l



Upplysningar

 ---





Mall-id: RSP-0002-S_Vaxt, 2020-12-18

                                                   1(2) BESLUTSBILAGA

                                                                      Beslutsdatum                   Diarienr
                                                     2025-06-17            5.1.1-B25-00218

                                                                 Produktnamn                 Aktnr         Regnr
                                                   Mavrik               F-1759    4491





Bilaga 2 ‒ Innehavarens uppgifter om klassificering och märkning enligt CLP

Här redovisas innehavarens uppgifter om produktens klassificering och märkning enligt
förordning (EG) nr 1272/2008 (CLP).

De uppgifter som har ändrats sedan föregående prövning är markerade med ett [X] till höger på samma
rad.


Ämnen av betydelse för klassificering och märkning

 Ämnesnamn                                               Cas-nr          Typ                    Ändring

 Tau-fluvalinat                                     102851-06-9   Verksamt ämne


Klassificering

 Faroklass och farokategori                                                                           Ändring

 4.1 Farligt för vattenmiljön, akut fara - Kategori: Akut 1

 4.1 Farligt för vattenmiljön, fara för skadliga långtidseffekter - Kategori: Kronisk 1



Märkning

 Faroangivelser                                                                                     Ändring

 H410 Mycket giftigt för vattenlevande organismer med långtidseffekter

EUH401 För att undvika risker för människors hälsa och för miljön, följ bruksanvisningen.



 Skyddsangivelser                                                                                   Ändring

 P501 Innehållet och behållaren lämnas till godkänd avfallsmottagare.



 Piktogram och signalord                                                                             Ändring





GHS09 Varning





Mall-id: RSP-0002-S_Vaxt, 2020-12-18

                                                   2(2)",4491_Bilaga_Villkor_2025-06-17.pdf_chunk1,No LLM answer
DC_4491_001R2,4491_bilaga_villkor_2025-06-17,4491_bilaga_villkor_för_användning_2025-06-17,False,[1],1,False,0.46949803829193115,0.0,0,0.0,0,True,False,Easy,Mavrik,Från och med 2025-06-17 Till och med 2028-01-31. Tabell: 1_no_title,Vad är giltighetstiden för produktgodkännandet av Mavrik?,"Beslutsbilaga 3
                                                                         Datum: 2025-06-17          Regnr: 4491
                                                                                          Aktnr: F-1759                  Diarienr: 5.1.1-B25-00218


Villkor för användning av Mavrik
De beslutade villkoren riktar sig till innehavaren av produktgodkännandet. Ändringar sedan förra produktgodkännandet är markerade med X.
Som användare är du skyldig att följa växtskyddsmedlets etikett och bruksanvisning.

Användning och syfte

 Gröda/           Var/       Syfte          Behandlings-      Utvecklings-     Max antal    Minst antal        Minst antal     Max dos vid en enskild          Övriga villkor och      Ändring
  situation        område                    utrustning/        stadium/          behand-     dagar mellan      dagar mellan    behandling på den yta som       förtydliganden
                                     metod             tidpunkt             lingar         varje behandling    sista            behandlas
                                                                                                             behandling      Produkt     Verksamt ämne
                                                                                                  och skörd

 Höstvete,             Mot         Bomspruta    BBCH 10–75    3 per      10            30             0,2 L/ha    48 g tau-      Max 1 applicering
 höstråg,                  insekts-                                  säsong                                                         fluvalinat/ha     på hösten och 2
 höstrågvete            angrepp                                                                                                                      appliceringar på
 och höstkorn                                                                                                                             våren
 Vårvete,              Mot         Bomspruta    BBCH 10–75    2 per år    10            30             0,2 L/ha    48 g tau-
 vårråg,                    insekts-                                                                                                              fluvalinat/ha
 vårrågvete,             angrepp
 vårkorn och
 havre
 Lin, raps och           Mot         Bomspruta    BBCH 10–19    1 per år                  60             0,2 L/ha    48 g tau-
 rybs                      insekts-                                                                                                              fluvalinat/ha
                       angrepp
 Raps och             Mot         Bomspruta    BBCH 30–71    2 per år    7             60             0,2 L/ha    48 g tau-
 rybs                      insekts-                                                                                                              fluvalinat/ha
                       angrepp
 Potatis               Mot         Bomspruta    BBCH 12–49    2 per år    14             7              0,2 L/ha    48 g tau-
                            insekts-                                                                                                              fluvalinat/ha
                       angrepp
 Ärtor - färska          Mot         Bomspruta    BBCH 10–79    2 per år    14             7              0,2 L/ha    48 g tau-
                            insekts-                                                                                                              fluvalinat/ha
                       angrepp
 Ärtor -                Mot         Bomspruta    BBCH 10–79    2 per år    14            14             0,2 L/ha   48 g tau-
 torkade                   insekts-                                                                                                            fluvalinat/ha
                       angrepp



                                                                                                                                     1 (4)",4491_Bilaga_Villkor_för_användning_2025-06-17.pdf_chunk1,No LLM answer
DC_4491_001R3,4491_bilaga_villkor_2025-06-17,5584_bilaga_villkor_2025-06-25,False,[1],1,False,0.5119221210479736,27.083333333333332,13,0.0,0,False,False,Easy,Mavrik,Från och med 2025-06-17 Till och med 2028-01-31. Tabell: 1_no_title,Vad är giltighetstiden för produktgodkännandet av Mavrik?,"BESLUTSBILAGA

                                                                      Beslutsdatum                   Diarienr
                                                     2025-06-25            5.1.1-B25-00259

                                                                 Produktnamn                 Aktnr         Regnr
                                                        Revystar XL          F-4650    5584




Bilaga 1 ‒ Villkor för förnyat och/eller ändrat produktgodkännande
De uppgifter som har ändrats sedan föregående prövning är markerade med ett [X] till höger på samma
rad.

                                                                                                    Ändring

 Typ av bekämpningsmedel     Växtskyddsmedel
 Produktnamn                Revystar XL

 Registreringsnummer        5584

 Behörighetsklass            2 L
 Giltighetstid                      Från och med                                          Till och med               X
                          2025-06-25                    2026-05-31
 Innehavare            BASF AB
                      Box 7144
                        402 33 Göteborg
 Ombud               BASF A/S
                        Kalvebod Brygge 45, 2
                      DK-1560 København V
                DANMARK
 Funktion             FU – Fungicid
 Produktkod            BAS 752 00 F

 Beredningsform             EC-Emulgerbart koncentrat

 Förpackningsvillkor          HDPE-förpackning max 50 L

 Märkningskrav            SP1 Förorena inte vatten med produkten eller dess behållare.
                            Mefentriflukonazol ger upphov till bildandet av 1,2,4-triazol.



Verksamma ämnen                          Cas-nr              Halt  Enhet   Kandidat-      Lågrisk-   Ändring
                                                            ämne       ämne
                                                                                           för
                                                                                      substitution
Mefentriflukonazol                    1417782-03-    100  g/l
                                   6
Fluxapyroxad                         907204-31-3     50  g/l



Upplysningar

 ---





Mall-id: RSP-0002-S_Vaxt, 2020-12-18

                                                   1(4)",5584_Bilaga_Villkor_2025-06-25.pdf_chunk1,No LLM answer
DC_4491_001R4,4491_bilaga_villkor_2025-06-17,5823_bilaga_villkor_2025-06-24,False,[1],1,False,0.5190905928611755,27.083333333333332,13,0.0,0,False,False,Easy,Mavrik,Från och med 2025-06-17 Till och med 2028-01-31. Tabell: 1_no_title,Vad är giltighetstiden för produktgodkännandet av Mavrik?,"BESLUTSBILAGA

                                                                      Beslutsdatum                   Diarienr
                                                     2025-06-24            5.1.1-B25-00257

                                                                 Produktnamn                 Aktnr         Regnr
                                                                  Pioli                 F-5127    5823




Bilaga 1 ‒ Villkor för förnyat och/eller ändrat produktgodkännande
De uppgifter som har ändrats sedan föregående prövning är markerade med ett [X] till höger på samma
rad.

                                                                                                    Ändring

 Typ av bekämpningsmedel     Växtskyddsmedel
 Produktnamn                   Pioli

 Registreringsnummer        5823

 Behörighetsklass            2 L
 Giltighetstid                      Från och med                                          Till och med               X
                          2025-06-24                    2026-05-31
 Innehavare            BASF AB
                      Box 7144
                        402 33 Göteborg
 Ombud               BASF A/S
                        Kalvebod Brygge 45, 2
                      DK-1560 København V
                DANMARK
 Funktion             FU – Fungicid
 Produktkod            BAS 700 09 F

 Beredningsform             EC-Emulgerbart koncentrat

 Förpackningsvillkor        Max 10 L i co-extruerad PA/PE-förpackning.

 Märkningskrav              SP1: Förorena inte vatten med produkten eller dess behållare.
                        Rengör inte sprututrustning i närheten av vattendrag.



Verksamma ämnen                          Cas-nr              Halt  Enhet   Kandidat-      Lågrisk-   Ändring
                                                            ämne       ämne
                                                                                           för
                                                                                      substitution
Fluxapyroxad                         907204-31-3    62,5  g/l



Upplysningar

 Riskbedömningen för produktgodkännandet baserar sig på godkännandet för Imtrex XE med
 registreringsnummer 5532.





Mall-id: RSP-0002-S_Vaxt, 2020-12-18

                                                   1(3)",5823_Bilaga_Villkor_2025-06-24.pdf_chunk1,No LLM answer
DC_4491_001R5,4491_bilaga_villkor_2025-06-17,5313_bilaga_villkor_2025-06-16,False,[1],"1,2",False,0.520660936832428,27.083333333333332,13,0.0,0,False,False,Easy,Mavrik,Från och med 2025-06-17 Till och med 2028-01-31. Tabell: 1_no_title,Vad är giltighetstiden för produktgodkännandet av Mavrik?,"BESLUTSBILAGA

                                                                      Beslutsdatum                   Diarienr
                                                     2025-06-16            5.1.1-B25-00293

                                                                 Produktnamn                 Aktnr         Regnr
                                      RAK3+4             F-4408    5313




Bilaga 1 ‒ Villkor för förnyat och/eller ändrat produktgodkännande
De uppgifter som har ändrats sedan föregående prövning är markerade med ett [X] till höger på samma
rad.

                                                                                                    Ändring

 Typ av bekämpningsmedel     Växtskyddsmedel
 Produktnamn           RAK3+4

 Registreringsnummer        5313

 Behörighetsklass            2 L
 Giltighetstid                      Från och med                                          Till och med               X
                          2025-06-16                    2027-09-30
 Innehavare            BASF AB
                      Box 7144
                        402 33 Göteborg
 Ombud               BASF A/S
                        Kalvebod Brygge 45, 2
                      DK-1560 København V
                DANMARK
 Funktion             AT – Attrahent (attraktant)
                    IN – Insekticid
 Produktkod            BAS 295 02 I

 Beredningsform             VP-Preparat som avger verksam beståndsdel i gasform

 Förpackningsvillkor           Dispenser av etylen-vinylacetat co-polymer (EVA) med två
                        kammare. Max 3 mL vardera. Ytterförpackning i form av LDPE
                               foliepåse.
 Märkningskrav           Av märkningen ska framgå att hållbarheten är begränsad och att
                                  sista användningsdag vid rekommenderade lagringsförhållanden
                               är 12 månader efter tillverkningsdatum.
                    Av märkningen ska framgå att produkten inte får förvaras i en
                           temperatur som överstiger -18°C.
                    Av märkningen ska framgå att ampullerna ska förvaras i
                          obruten ytterförpackning. När ytterförpackningen har brutits
                            ska ampullerna användas omgående. Överblivna ampuller ska
                              destrueras.
                       SP1 Förorena inte vatten med produkten eller dess behållare.



Verksamma ämnen                          Cas-nr              Halt  Enhet   Kandidat-      Lågrisk-   Ändring
                                                            ämne       ämne
                                                                                           för
                                                                                      substitution
E,E-8,10-Dodekadien-1-ol             33956-49-9      35   vikt-
                               %
(Z)-11-tetradecen-1-yl acetat            20711-10-8      37   vikt-
                               %




Mall-id: RSP-0002-S_Vaxt, 2020-12-18

                                                   1(4) BESLUTSBILAGA

                                                                      Beslutsdatum                   Diarienr
                                                     2025-06-16            5.1.1-B25-00293

                                                                 Produktnamn                 Aktnr         Regnr
                                      RAK3+4             F-4408    5313


Tetradekylacetat                       638-59-5        17,1   vikt-
                               %



Upplysningar

 ---





Mall-id: RSP-0002-S_Vaxt, 2020-12-18

                                                   2(4)",5313_Bilaga_Villkor_2025-06-16.pdf_chunk1,No LLM answer
DC_4491_002R1,4491_bilaga_villkor_för_användning_2025-06-17,4491_bilaga_villkor_för_användning_2025-06-17,True,"[1, 2, 3]",1,True,0.4339534044265747,0.0,0,18.0,9,False,False,Easy,Mavrik,"Tabell: Användning och syfte, Col: Gröda/situation",Vilka grödor får Mavrik användas på?,"Beslutsbilaga 3
                                                                         Datum: 2025-06-17          Regnr: 4491
                                                                                          Aktnr: F-1759                  Diarienr: 5.1.1-B25-00218


Villkor för användning av Mavrik
De beslutade villkoren riktar sig till innehavaren av produktgodkännandet. Ändringar sedan förra produktgodkännandet är markerade med X.
Som användare är du skyldig att följa växtskyddsmedlets etikett och bruksanvisning.

Användning och syfte

 Gröda/           Var/       Syfte          Behandlings-      Utvecklings-     Max antal    Minst antal        Minst antal     Max dos vid en enskild          Övriga villkor och      Ändring
  situation        område                    utrustning/        stadium/          behand-     dagar mellan      dagar mellan    behandling på den yta som       förtydliganden
                                     metod             tidpunkt             lingar         varje behandling    sista            behandlas
                                                                                                             behandling      Produkt     Verksamt ämne
                                                                                                  och skörd

 Höstvete,             Mot         Bomspruta    BBCH 10–75    3 per      10            30             0,2 L/ha    48 g tau-      Max 1 applicering
 höstråg,                  insekts-                                  säsong                                                         fluvalinat/ha     på hösten och 2
 höstrågvete            angrepp                                                                                                                      appliceringar på
 och höstkorn                                                                                                                             våren
 Vårvete,              Mot         Bomspruta    BBCH 10–75    2 per år    10            30             0,2 L/ha    48 g tau-
 vårråg,                    insekts-                                                                                                              fluvalinat/ha
 vårrågvete,             angrepp
 vårkorn och
 havre
 Lin, raps och           Mot         Bomspruta    BBCH 10–19    1 per år                  60             0,2 L/ha    48 g tau-
 rybs                      insekts-                                                                                                              fluvalinat/ha
                       angrepp
 Raps och             Mot         Bomspruta    BBCH 30–71    2 per år    7             60             0,2 L/ha    48 g tau-
 rybs                      insekts-                                                                                                              fluvalinat/ha
                       angrepp
 Potatis               Mot         Bomspruta    BBCH 12–49    2 per år    14             7              0,2 L/ha    48 g tau-
                            insekts-                                                                                                              fluvalinat/ha
                       angrepp
 Ärtor - färska          Mot         Bomspruta    BBCH 10–79    2 per år    14             7              0,2 L/ha    48 g tau-
                            insekts-                                                                                                              fluvalinat/ha
                       angrepp
 Ärtor -                Mot         Bomspruta    BBCH 10–79    2 per år    14            14             0,2 L/ha   48 g tau-
 torkade                   insekts-                                                                                                            fluvalinat/ha
                       angrepp



                                                                                                                                     1 (4)",4491_Bilaga_Villkor_för_användning_2025-06-17.pdf_chunk1,No LLM answer
DC_4491_002R2,4491_bilaga_villkor_för_användning_2025-06-17,4491_bilaga_villkor_2025-06-17,False,"[1, 2, 3]","1,2",False,0.5389101505279541,0.0,0,10.0,5,False,False,Easy,Mavrik,"Tabell: Användning och syfte, Col: Gröda/situation",Vilka grödor får Mavrik användas på?,"BESLUTSBILAGA

                                                                      Beslutsdatum                   Diarienr
                                                     2025-06-17            5.1.1-B25-00218

                                                                 Produktnamn                 Aktnr         Regnr
                                                   Mavrik               F-1759    4491




Bilaga 1 ‒ Villkor för förnyat och/eller ändrat produktgodkännande
De uppgifter som har ändrats sedan föregående prövning är markerade med ett [X] till höger på samma
rad.

                                                                                                    Ändring

 Typ av bekämpningsmedel     Växtskyddsmedel
 Produktnamn               Mavrik

 Registreringsnummer        4491

 Behörighetsklass            2 L
 Giltighetstid                      Från och med                                          Till och med               X
                          2025-06-17                    2028-01-31
 Innehavare          ADAMA Registrations B.V.
                          P.O. Box. 355
                       NL-3830 AK Leusden
                NEDERLÄNDERNA
 Ombud                            ---
 Funktion               IN – Insekticid
 Produktkod             MCW-5022

 Beredningsform            EW-Emulsion, olja i vatten

 Förpackningsvillkor        Upp till 5 L HDPE-förpackningar.

 Märkningskrav                 Sista användningsdag vid rekommenderade lagringsförhållanden
                            ska anges i märkningen.
                    Av märkningen ska framgå att hållbarheten är begränsad och att
                                  sista användningsdag är 2 år efter tillverkning.
                       SP1 Förorena inte vatten med produkten eller dess behållare.



Verksamma ämnen                          Cas-nr              Halt  Enhet   Kandidat-      Lågrisk-   Ändring
                                                            ämne       ämne
                                                                                           för
                                                                                      substitution
Tau-fluvalinat                        102851-06-9    240  g/l



Upplysningar

 ---





Mall-id: RSP-0002-S_Vaxt, 2020-12-18

                                                   1(2) BESLUTSBILAGA

                                                                      Beslutsdatum                   Diarienr
                                                     2025-06-17            5.1.1-B25-00218

                                                                 Produktnamn                 Aktnr         Regnr
                                                   Mavrik               F-1759    4491





Bilaga 2 ‒ Innehavarens uppgifter om klassificering och märkning enligt CLP

Här redovisas innehavarens uppgifter om produktens klassificering och märkning enligt
förordning (EG) nr 1272/2008 (CLP).

De uppgifter som har ändrats sedan föregående prövning är markerade med ett [X] till höger på samma
rad.


Ämnen av betydelse för klassificering och märkning

 Ämnesnamn                                               Cas-nr          Typ                    Ändring

 Tau-fluvalinat                                     102851-06-9   Verksamt ämne


Klassificering

 Faroklass och farokategori                                                                           Ändring

 4.1 Farligt för vattenmiljön, akut fara - Kategori: Akut 1

 4.1 Farligt för vattenmiljön, fara för skadliga långtidseffekter - Kategori: Kronisk 1



Märkning

 Faroangivelser                                                                                     Ändring

 H410 Mycket giftigt för vattenlevande organismer med långtidseffekter

EUH401 För att undvika risker för människors hälsa och för miljön, följ bruksanvisningen.



 Skyddsangivelser                                                                                   Ändring

 P501 Innehållet och behållaren lämnas till godkänd avfallsmottagare.



 Piktogram och signalord                                                                             Ändring





GHS09 Varning





Mall-id: RSP-0002-S_Vaxt, 2020-12-18

                                                   2(2)",4491_Bilaga_Villkor_2025-06-17.pdf_chunk1,No LLM answer
DC_4491_002R3,4491_bilaga_villkor_för_användning_2025-06-17,5345_beslut_villkor_för_användning_2025-06-24,False,"[1, 2, 3]",1,False,0.5659526586532593,0.0,0,18.0,9,False,False,Easy,Mavrik,"Tabell: Användning och syfte, Col: Gröda/situation",Vilka grödor får Mavrik användas på?,"Beslutsbilaga 3
                                                                         Datum: 2025-06-24          Regnr: 5345
                                                                                          Aktnr: F-4507                  Diarienr: 5.1.1-B25-00258


Villkor för användning av Priaxor
De beslutade villkoren riktar sig till innehavaren av produktgodkännandet. Ändringar sedan förra produktgodkännandet är markerade med X.
Som användare är du skyldig att följa växtskyddsmedlets etikett och bruksanvisning.

Användning och syfte

 Gröda/           Var/        Syfte        Behandlings-     Utvecklings-    Max antal      Minst antal        Minst antal    Max dos vid en enskild behandling på      Övriga villkor      Ändring
  situation        område                   utrustning/       stadium/        behand-       dagar mellan      dagar        den yta som behandlas                 och
                                    metod            tidpunkt           lingar           varje behandling   mellan sista                                               förtydliganden
                                                                                                          behandling    Produkt    Verksamt ämne
                                                                                                och skörd

 Vete, korn,            Mot       Bomspruta   BBCH 30–69  2 per år           7           35       1,5L/ha   112,5 g fluxapyroxad/ha   Den totala
 råg, rågvete            svamp-                                                                           225 g pyraklostrobin/ha    maximala
 och havre              angrepp                                                                                                   dosen får inte
                                                                                                                                                           överstiga 1,5 L
                                                                                                                                                          produkt/ha.

Ytterligare villkor

 Kategori                           Villkor                                                                                         Anmärkning                                  Ändring

 Anpassade                   Ett anpassat skyddsavstånd ska bestämmas med hjälp av ”Hjälpreda vid bestämning av               Villkoret är till för att skydda
 skyddsavstånd vid        anpassade skyddsavstånd. Lantbruksspruta med bom”.                                          vattenlevande organismer.
 spridning
 Personlig                Skyddshandskar och skyddskläder ska användas vid hantering av produkten samt vid                  Villkoret är till för att skydda mot
 skyddsutrustning          arbetsmoment som innebär risk för kontakt med brukslösning eller sprutdimma.                    växtskyddsmedlets hälsorisker.
                         Andra hälsoskyddsåtgärder får användas om de ger minst motsvarande skydd.





                                                                                                                                     1 (1)",5345_Beslut_Villkor_för_användning_2025-06-24.pdf_chunk1,No LLM answer
DC_4491_002R4,4491_bilaga_villkor_för_användning_2025-06-17,5584_bilaga_villkor_för_användning_2025-06-25,False,"[1, 2, 3]","1,2",False,0.567432701587677,0.0,0,18.0,9,False,False,Easy,Mavrik,"Tabell: Användning och syfte, Col: Gröda/situation",Vilka grödor får Mavrik användas på?,"Beslutsbilaga 3
                                                                         Datum: 2025-06-25          Regnr: 5584
                                                                                          Aktnr: F-4650                  Diarienr: 5.1.1-B25-00259


Villkor för användning av Revystar XL
De beslutade villkoren riktar sig till innehavaren av produktgodkännandet. Ändringar sedan förra produktgodkännandet är markerade med X.
Som användare är du skyldig att följa växtskyddsmedlets etikett och bruksanvisning.

Användning och syfte

 Gröda/         Var/        Syfte            Behandlings-     Utvecklings-     Max antal    Minst antal     Minst antal    Max dos vid en enskild behandling     Övriga villkor och      Ändring
  situation      område                       utrustning/       stadium/          behand-     dagar         dagar        på den yta som behandlas             förtydliganden
                                      metod            tidpunkt             lingar        mellan varje   mellan sista
                                                                                          behandling    behandling    Produkt     Verksamt ämne
                                                                                               och skörd

 Vete, korn          Mot svamp-  Bomspruta  BBCH 30–69  2 per år      14        35      1,5 L/ha  150 g               Totala maximala
 och                angrepp                                                                                   mefentriflukonazol  dosen får inte
 rågvete                                                                                                        /ha                 överskrida 1,5
                                                                                                                              L/ha och år.
 Höstråg             Mot svamp-   Bomspruta  BBCH 30–69  1 per år                  35      1,5 L/ha  150 g
                      angrepp                                                                                    mefentriflukonazol
                                                                                                                /ha
 Havre              Mot svamp-  Bomspruta  BBCH 30–69  1 per år                35      1,5 L/ha  150 g
                    angrepp                                                                                   mefentriflukonazol
                                                                                                                /ha
 Socker-            Mot svamp-  Bomspruta  BBCH 39–49  2 per år      14        28      1,0 L/ha  100 g
 och                angrepp                                                                                   mefentriflukonazol
 foderbeta                                                                                                      /ha





                                                                                                                                     1 (2) Datum: : 2025-06-25          Regnr: 5584
                                                                                        Aktnr: F-4650                   Diarienr: 5.1.1-B25-00259


Ytterligare villkor

 Kategori                           Villkor                                                                                         Anmärkning                                Ändring

 Personlig              Skyddshandskar, skyddskläder och ögonskydd ska användas vid hantering av               Villkoret är till för att skydda mot
 skyddsutrustning        produkten. Skyddshandskar ska användas vid arbetsmoment som innebär risk för         växtskyddsmedlets hälsorisker
                          kontakt med brukslösning eller sprutdimma.


                         Andra hälsoskyddsåtgärder får användas om de ger minst motsvarande skydd.
 Vid återinträde i        Skyddshandskar och arbetskläder (som täcker armar, ben och bål) ska användas vid        Villkoret är till för att skydda mot
 behandlade områden    återinträde i behandlade områden under de första 48 timmarna efter behandling.           växtskyddsmedlets hälsorisker.
                          Därefter ska arbetskläder (som täcker armar, ben och bål) användas i ytterligare 28 dygn
                            vid återinträde i behandlade områden.


                         Andra hälsoskyddsåtgärder får användas om de ger minst motsvarande skydd.





                                                                                                                                     2 (2)",5584_Bilaga_Villkor_för_användning_2025-06-25.pdf_chunk1,No LLM answer
DC_4491_002R5,4491_bilaga_villkor_för_användning_2025-06-17,5510_bilaga_villkor_för_användning_2025-06-12,False,"[1, 2, 3]",1,False,0.5807287096977234,0.0,0,18.0,9,False,False,Easy,Mavrik,"Tabell: Användning och syfte, Col: Gröda/situation",Vilka grödor får Mavrik användas på?,"Beslutsbilaga 3
                                                                         Datum: 2025-06-12          Regnr: 5510
                                                                                          Aktnr: F-2567                  Diarienr: 5.1.1-B24-00648


Villkor för användning av Pico 750 WG
De beslutade villkoren riktar sig till innehavaren av produktgodkännandet. Ändringar sedan förra produktgodkännandet är markerade med X.
Som användare är du skyldig att följa växtskyddsmedlets etikett och bruksanvisning.

Användning och syfte

 Gröda/           Var/        Syfte        Behandlings   Utvecklings-    Max       Minst antal     Minst antal    Max dos vid en enskild behandling på    Övriga villkor och             Ändring
  situation        område                   utrustning/     stadium/          antal      dagar         dagar        den yta som behandlas                  förtydliganden
                                    metod          tidpunkt         behand-   mellan varje   mellan sista
                                                                                      lingar      behandling    behandling    Produkt     Verksamt ämne
                                                                                        och skörd

 Höstvete,              Mot       Bomspruta  BBCH 00–12  1 per år                         133 g/ha   100 g pikolinafen /ha    Varje rad representerar   X
 höstråg,                  örtogräs                Endast höst-                                                               en behandlingsstrategi.
 höstrågvete                                      behandling                                                                               Olika
 och höstkorn                                                                                                                                 behandlingsstrategier får
                                                                                                                                                                 inte kombineras
 Höstvete,              Mot       Bomspruta  BBCH 25–29  1 per år                         133 g/ha   100 g pikolinafen /ha    Varje rad representerar   X
 höstråg,                  örtogräs                Endast vår-                                                                en behandlingsstrategi.
 höstrågvete                                      behandling                                                                               Olika
 och höstkorn                                                                                                                                 behandlingsstrategier får
                                                                                                                                                                 inte kombineras

Ytterligare villkor

 Kategori                           Villkor                                                                                         Anmärkning                                  Ändring

 Spridningsutrustning vid    Vid spridning närmare än 100 m från sjöar, vattendrag eller öppna diken ska utrustning som           Villkoret är till för att skydda vattenlevande X
 höstbehandling            reducerar avdriften med minst 75 % användas.                                                organismer
 Spridningsutrustning vid    Vid spridning närmare än 100 m från sjöar, vattendrag eller öppna diken ska utrustning som           Villkoret är till för att skydda vattenlevande X
 vårbehandling             reducerar avdriften med minst 50 % användas.                                                organismer
 Anpassade skyddsavstånd  Ett anpassat skyddsavstånd ska bestämmas med hjälp av ""Hjälpreda vid bestämning av anpassade  Villkoret är till för att skydda vattenlevande X
 vid spridning              skyddsavstånd. Lantbruksspruta med bom.""                                                   organismer

                        När avdriftsreducerande utrustning krävs ska skyddsavstånden i hjälpredan läsas i kolumnen för
                          grov duschkvalitet.



                                                                                                                                     1 (1)",5510_Bilaga_Villkor_för_användning_2025-06-12.pdf_chunk1,No LLM answer
