Result_Id,Correct_File,Guessed_File,Filename_Match,Correct_Pages,Guessed_Page,Page_Match,Distance,Text_Match_Start_Percent,Match_Length_Start,Text_Match_End_Percent,Match_Length_End,No_match,Match_Threshold,Difficulty,Category,Expected_answer,Question,Returned_Chunk,Chunk_Id,LLM_ANS
DC_4491_001R1,4491_bilaga_villkor_2025-06-17,4491_bilaga_villkor_för_användning_2025-06-17,False,[1],1,False,0.32723212242126465,0.0,0,0.0,0,True,False,Easy,Mavrik,|Från och med 2025-06-17|Till och med 2028-01-31|,Vad är giltighetstiden för produktgodkännandet av Mavrik?,"Passage: Reg nr: 4491, Produktnamn: Mavrik

<!-- image -->

## Beslutsbilaga 3

Datum: 2025-06-17

Aktnr: F-1759

Regnr: 4491

Diarienr: 5.1.1-B25-00218

## Villkor för användning av Mavrik

De beslutade villkoren riktar sig till innehavaren av produktgodkännandet. Ändringar sedan förra produktgodkännandet är markerade med X. Som användare är du skyldig att följa växtskyddsmedlets etikett och bruksanvisning.

## Användning och syfte",4491_Bilaga_Villkor_för_användning_2025-06-17.pdf_chunk1,No LLM answer
DC_4491_001R2,4491_bilaga_villkor_2025-06-17,4491_bilaga_villkor_2025-06-17,True,[1],1,True,0.33081740140914917,0.0,0,0.0,0,True,False,Easy,Mavrik,|Från och med 2025-06-17|Till och med 2028-01-31|,Vad är giltighetstiden för produktgodkännandet av Mavrik?,"Passage: Reg nr: 4491, Produktnamn: Mavrik

<!-- image -->

## BESLUTSBILAGA

Beslutsdatum 2025-06-17

Produktnamn Mavrik

Diarienr

5.1.1-B25-00218

Aktnr

F-1759

Regnr

4491

## Bilaga 1 - Villkor för förnyat och/eller ändrat produktgodkännande

De uppgifter som har ändrats sedan föregående prövning är markerade med ett [X] till höger på samma rad.",4491_Bilaga_Villkor_2025-06-17.pdf_chunk1,No LLM answer
DC_4491_001R3,4491_bilaga_villkor_2025-06-17,4491_bilaga_villkor_2025-06-17,True,[1],2,False,0.40146589279174805,0.0,0,0.0,0,True,False,Easy,Mavrik,|Från och med 2025-06-17|Till och med 2028-01-31|,Vad är giltighetstiden för produktgodkännandet av Mavrik?,"Passage: Reg nr: 4491, Produktnamn: Mavrik

<!-- image -->

## BESLUTSBILAGA

Beslutsdatum 2025-06-17

Produktnamn

Mavrik

Diarienr

5.1.1-B25-00218

Aktnr

F-1759

Regnr

4491

## Bilaga 2 - Innehavarens uppgifter om klassificering och märkning enligt CLP

Här redovisas innehavarens uppgifter om produktens klassificering och märkning enligt förordning (EG) nr 1272/2008 (CLP).

De uppgifter som har ändrats sedan föregående prövning är markerade med ett [X] till höger på samma rad.

## Ämnen av betydelse för klassificering och märkning

| Ämnesnamn      | Cas-nr      | Typ           | Ändring   |
|----------------|-------------|---------------|-----------|
| Tau-fluvalinat | 102851-06-9 | Verksamt ämne |           |

## Klassificering",4491_Bilaga_Villkor_2025-06-17.pdf_chunk4,No LLM answer
DC_4491_001R4,4491_bilaga_villkor_2025-06-17,4491_bilaga_villkor_2025-06-17,True,[1],1,True,0.4131739139556885,100.0,40,100.0,40,False,True,Easy,Mavrik,|Från och med 2025-06-17|Till och med 2028-01-31|,Vad är giltighetstiden för produktgodkännandet av Mavrik?,"Passage: Reg nr: 4491, Produktnamn: Mavrik

|                         |                                                                                                                                                                                                                                                                   | Ändring   |
|-------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------|
| Typ av bekämpningsmedel | Växtskyddsmedel                                                                                                                                                                                                                                                   |           |
| Produktnamn             | Mavrik                                                                                                                                                                                                                                                            |           |
| Registreringsnummer     | 4491                                                                                                                                                                                                                                                              |           |
| Behörighetsklass        | 2 L                                                                                                                                                                                                                                                               |           |
| Giltighetstid           | Från och med 2025-06-17 Till och med 2028-01-31                                                                                                                                                                                                                   | X         |
| Innehavare              | ADAMA Registrations B.V. P.O. Box. 355 NL-3830 AK Leusden NEDERLÄNDERNA                                                                                                                                                                                           |           |
| Ombud                   | ---                                                                                                                                                                                                                                                               |           |
| Funktion                | IN - Insekticid                                                                                                                                                                                                                                                   |           |
| Produktkod              | MCW-5022                                                                                                                                                                                                                                                          |           |
| Beredningsform          | EW-Emulsion, olja i vatten                                                                                                                                                                                                                                        |           |",4491_Bilaga_Villkor_2025-06-17.pdf_chunk2,No LLM answer
DC_4491_001R5,4491_bilaga_villkor_2025-06-17,4491_bilaga_villkor_för_användning_2025-06-17,False,[1],3,False,0.4320946931838989,0.0,0,0.0,0,True,False,Easy,Mavrik,|Från och med 2025-06-17|Till och med 2028-01-31|,Vad är giltighetstiden för produktgodkännandet av Mavrik?,"Passage: Reg nr: 4491, Produktnamn: Mavrik

| Gröda/ situation   | Var/ område   | Syfte   | Behandlings- utrustning/ metod   | Utvecklings- stadium/ tidpunkt   | Max antal behand- lingar   | Minst antal dagar mellan varje behandling   | Minst antal dagar mellan sista behandling och skörd   | Max dos vid en enskild behandling på den yta som behandlas   | Max dos vid en enskild behandling på den yta som behandlas   | Övriga villkor och förtydliganden                     | Ändring   |
|--------------------|---------------|---------|----------------------------------|----------------------------------|----------------------------|---------------------------------------------|-------------------------------------------------------|--------------------------------------------------------------|--------------------------------------------------------------|-------------------------------------------------------|-----------|
|                    |               |         |                                  |                                  |                            |                                             |                                                       | Produkt                                                      | Verksamt ämne                                                |                                                       |           |
|                    |               |         |                                  |                                  |                            |                                             |                                                       |                                                              |                                                              | produkt- godkännandet för mindre använd- ningsområde. |           |",4491_Bilaga_Villkor_för_användning_2025-06-17.pdf_chunk10,No LLM answer
DC_4491_002R1,4491_bilaga_villkor_för_användning_2025-06-17,4491_bilaga_villkor_för_användning_2025-06-17,True,"[1, 2, 3]",1,True,0.4187833070755005,0.0,0,0.0,0,True,False,Easy,Mavrik,"|Höstvete, höstråg, höstrågvete och höstkorn|Vårvete, vårråg, vårrågvete, vårkorn och havre|Lin, raps och rybs|Raps och rybs|Potatis|Ärtor - färska|Ärtor - torkade|Bönor - torkade|Huvudkål, brysselkål, blomkål och broccoli|Äpple och päron|Morot|Socker-, foder- och rödbetor|",Vilka grödor får Mavrik användas på?,"Passage: Reg nr: 4491, Produktnamn: Mavrik

<!-- image -->

## Beslutsbilaga 3

Datum: 2025-06-17

Aktnr: F-1759

Regnr: 4491

Diarienr: 5.1.1-B25-00218

## Villkor för användning av Mavrik

De beslutade villkoren riktar sig till innehavaren av produktgodkännandet. Ändringar sedan förra produktgodkännandet är markerade med X. Som användare är du skyldig att följa växtskyddsmedlets etikett och bruksanvisning.

## Användning och syfte",4491_Bilaga_Villkor_för_användning_2025-06-17.pdf_chunk1,No LLM answer
DC_4491_002R2,4491_bilaga_villkor_för_användning_2025-06-17,4491_bilaga_villkor_för_användning_2025-06-17,True,"[1, 2, 3]",3,True,0.45889222621917725,0.0,0,0.0,0,True,False,Easy,Mavrik,"|Höstvete, höstråg, höstrågvete och höstkorn|Vårvete, vårråg, vårrågvete, vårkorn och havre|Lin, raps och rybs|Raps och rybs|Potatis|Ärtor - färska|Ärtor - torkade|Bönor - torkade|Huvudkål, brysselkål, blomkål och broccoli|Äpple och päron|Morot|Socker-, foder- och rödbetor|",Vilka grödor får Mavrik användas på?,"Passage: Reg nr: 4491, Produktnamn: Mavrik

| Gröda/ situation   | Var/ område   | Syfte   | Behandlings- utrustning/ metod   | Utvecklings- stadium/ tidpunkt   | Max antal behand- lingar   | Minst antal dagar mellan varje behandling   | Minst antal dagar mellan sista behandling och skörd   | Max dos vid en enskild behandling på den yta som behandlas   | Max dos vid en enskild behandling på den yta som behandlas   | Övriga villkor och förtydliganden                     | Ändring   |
|--------------------|---------------|---------|----------------------------------|----------------------------------|----------------------------|---------------------------------------------|-------------------------------------------------------|--------------------------------------------------------------|--------------------------------------------------------------|-------------------------------------------------------|-----------|
|                    |               |         |                                  |                                  |                            |                                             |                                                       | Produkt                                                      | Verksamt ämne                                                |                                                       |           |
|                    |               |         |                                  |                                  |                            |                                             |                                                       |                                                              |                                                              | produkt- godkännandet för mindre använd- ningsområde. |           |",4491_Bilaga_Villkor_för_användning_2025-06-17.pdf_chunk10,No LLM answer
DC_4491_002R3,4491_bilaga_villkor_för_användning_2025-06-17,4491_bilaga_villkor_för_användning_2025-06-17,True,"[1, 2, 3]",4,False,0.46022021770477295,0.0,0,2.1551724137931036,5,False,False,Easy,Mavrik,"|Höstvete, höstråg, höstrågvete och höstkorn|Vårvete, vårråg, vårrågvete, vårkorn och havre|Lin, raps och rybs|Raps och rybs|Potatis|Ärtor - färska|Ärtor - torkade|Bönor - torkade|Huvudkål, brysselkål, blomkål och broccoli|Äpple och päron|Morot|Socker-, foder- och rödbetor|",Vilka grödor får Mavrik användas på?,"Passage: Reg nr: 4491, Produktnamn: Mavrik

| Spridningsutrustning vid användning med bomspruta i odlingar av betor    | Vid spridning närmare än 100m från sjöar, vattendrag eller öppna diken ska utrustning som reducerar avdriften med minst 50 %användas. Skyddsavstånden i hjälpredan ska då läsas i kolumnen för grov duschkvalitet.                    | Villkoret är till för att skydda vattenlevande organismer.                                                     |           |
| Spridningsutrustning vid användning med bomspruta i odlingar av morötter | Vid spridning närmare än 100 mfrån sjöar, vattendrag eller öppna diken ska utrustning som reducerar avdriften med minst 75 %användas. Skyddsavstånden i hjälpredan ska då läsas i kolumnen för grov duschkvalitet.                    | Villkoret är till för att skydda vattenlevande organismer.                                                     |           |",4491_Bilaga_Villkor_för_användning_2025-06-17.pdf_chunk15,No LLM answer
DC_4491_002R4,4491_bilaga_villkor_för_användning_2025-06-17,4491_bilaga_villkor_2025-06-17,False,"[1, 2, 3]",1,False,0.4611714482307434,0.0,0,0.0,0,True,False,Easy,Mavrik,"|Höstvete, höstråg, höstrågvete och höstkorn|Vårvete, vårråg, vårrågvete, vårkorn och havre|Lin, raps och rybs|Raps och rybs|Potatis|Ärtor - färska|Ärtor - torkade|Bönor - torkade|Huvudkål, brysselkål, blomkål och broccoli|Äpple och päron|Morot|Socker-, foder- och rödbetor|",Vilka grödor får Mavrik användas på?,"Passage: Reg nr: 4491, Produktnamn: Mavrik

|                         |                                                                                                                                                                                                                                                                   | Ändring   |
|-------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------|
| Typ av bekämpningsmedel | Växtskyddsmedel                                                                                                                                                                                                                                                   |           |
| Produktnamn             | Mavrik                                                                                                                                                                                                                                                            |           |
| Registreringsnummer     | 4491                                                                                                                                                                                                                                                              |           |
| Behörighetsklass        | 2 L                                                                                                                                                                                                                                                               |           |
| Giltighetstid           | Från och med 2025-06-17 Till och med 2028-01-31                                                                                                                                                                                                                   | X         |
| Innehavare              | ADAMA Registrations B.V. P.O. Box. 355 NL-3830 AK Leusden NEDERLÄNDERNA                                                                                                                                                                                           |           |
| Ombud                   | ---                                                                                                                                                                                                                                                               |           |
| Funktion                | IN - Insekticid                                                                                                                                                                                                                                                   |           |
| Produktkod              | MCW-5022                                                                                                                                                                                                                                                          |           |
| Beredningsform          | EW-Emulsion, olja i vatten                                                                                                                                                                                                                                        |           |",4491_Bilaga_Villkor_2025-06-17.pdf_chunk2,No LLM answer
DC_4491_002R5,4491_bilaga_villkor_för_användning_2025-06-17,4491_bilaga_villkor_för_användning_2025-06-17,True,"[1, 2, 3]",1,True,0.4841000437736511,0.0,0,0.0,0,True,False,Easy,Mavrik,"|Höstvete, höstråg, höstrågvete och höstkorn|Vårvete, vårråg, vårrågvete, vårkorn och havre|Lin, raps och rybs|Raps och rybs|Potatis|Ärtor - färska|Ärtor - torkade|Bönor - torkade|Huvudkål, brysselkål, blomkål och broccoli|Äpple och päron|Morot|Socker-, foder- och rödbetor|",Vilka grödor får Mavrik användas på?,"Passage: Reg nr: 4491, Produktnamn: Mavrik

| Gröda/ situation                               | Var/ område   | Syfte                | Behandlings- utrustning/ metod   | Utvecklings- stadium/ tidpunkt   | Max antal behand- lingar   | Minst antal dagar mellan varje behandling   | Minst antal dagar mellan sista behandling och skörd   | Max dos vid en enskild behandling på den yta som behandlas   | Max dos vid en enskild behandling på den yta som behandlas   | Övriga villkor och förtydliganden                      | Ändring   |
|------------------------------------------------|---------------|----------------------|----------------------------------|----------------------------------|----------------------------|---------------------------------------------|-------------------------------------------------------|--------------------------------------------------------------|--------------------------------------------------------------|--------------------------------------------------------|-----------|",4491_Bilaga_Villkor_för_användning_2025-06-17.pdf_chunk2,No LLM answer
