Result_Id,Correct_File,Guessed_File,Filename_Match,Correct_Pages,Guessed_Page,Page_Match,Distance,Text_Match_Start_Percent,Match_Length_Start,Text_Match_End_Percent,Match_Length_End,No_match,Match_Threshold,Difficulty,Category,Expected_answer,Question,Returned_Chunk,Chunk_Id,LLM_ANS
DC_4491_001R1,4491_bilaga_villkor_2025-06-17,5313_bilaga_villkor_för_användning_2025-06-16,False,[1],1,False,0.362496018409729,0.0,0,0.0,0,True,False,Easy,Mavrik,|Från och med 2025-06-17|Till och med 2028-01-31|,Vad är giltighetstiden för produktgodkännandet av Mavrik?,"passage: Reg nr: 5313, Produktnamn: RAK3+4

|Kategori|Villkor|Anmärkning|Ändring|
|---|---|---|---|
|Personlig skyddsutrustning|Skyddshandskar ska användas vid hantering av produkten. Andra hälsoskyddsåtgärder får användas om de ger minst motsvarande skydd|Villkoret är till för att skydda mot växtskyddsmedlets hälsorisker.||


1 (1)",5313_Bilaga_Villkor_för_användning_2025-06-16.pdf_chunk2,No LLM answer
DC_4491_001R2,4491_bilaga_villkor_2025-06-17,4491_bilaga_villkor_för_användning_2025-06-17,False,[1],1,False,0.3686431646347046,0.0,0,0.0,0,True,False,Easy,Mavrik,|Från och med 2025-06-17|Till och med 2028-01-31|,Vad är giltighetstiden för produktgodkännandet av Mavrik?,"passage: Reg nr: 4491, Produktnamn: Mavrik

**Beslutsbilaga 3**

Datum: 2025-06-17

Aktnr: F-1759


Regnr: 4491

Diarienr: 5.1.1-B25-00218

# **Villkor för användning av Mavrik **

De beslutade villkoren riktar sig till innehavaren av produktgodkännandet. Ändringar sedan förra produktgodkännandet är markerade med X.

Som användare är du skyldig att följa växtskyddsmedlets etikett och bruksanvisning.
## **Användning och syfte **",4491_Bilaga_Villkor_för_användning_2025-06-17.pdf_chunk1,No LLM answer
DC_4491_001R3,4491_bilaga_villkor_2025-06-17,5313_bilaga_villkor_2025-06-16,False,[1],1,False,0.38426852226257324,0.0,0,0.0,0,True,False,Easy,Mavrik,|Från och med 2025-06-17|Till och med 2028-01-31|,Vad är giltighetstiden för produktgodkännandet av Mavrik?,"passage: Reg nr: 5313, Produktnamn: RAK3+4

BESLUTSBILAGA

Beslutsdatum

2025-06-16

Produktnamn
RAK3+4


Aktnr

F-4408


Diarienr

5.1.1-B25-00293


Regnr
5313


Bilaga 1 ‒ Villkor för förnyat och/eller ändrat produktgodkännande

De uppgifter som har ändrats sedan föregående prövning är markerade med ett [X] till höger på samma",5313_Bilaga_Villkor_2025-06-16.pdf_chunk1,No LLM answer
DC_4491_001R4,4491_bilaga_villkor_2025-06-17,5510_bilaga_villkor_för_användning_2025-06-12,False,[1],1,False,0.3889768123626709,0.0,0,0.0,0,True,False,Easy,Mavrik,|Från och med 2025-06-17|Till och med 2028-01-31|,Vad är giltighetstiden för produktgodkännandet av Mavrik?,"passage: Reg nr: 5510, Produktnamn: Pico 750 WG

**Beslutsbilaga 3**

Datum: 2025-06-12

Aktnr: F-2567


Regnr: 5510

Diarienr: 5.1.1-B24-00648

# **Villkor för användning av Pico 750 WG **

De beslutade villkoren riktar sig till innehavaren av produktgodkännandet. Ändringar sedan förra produktgodkännandet är markerade med X.

Som användare är du skyldig att följa växtskyddsmedlets etikett och bruksanvisning.
## **Användning och syfte **",5510_Bilaga_Villkor_för_användning_2025-06-12.pdf_chunk1,No LLM answer
DC_4491_001R5,4491_bilaga_villkor_2025-06-17,5814_bilaga_villkor_för_användning_2024-10-31,False,[1],1,False,0.400911808013916,0.0,0,0.0,0,True,False,Easy,Mavrik,|Från och med 2025-06-17|Till och med 2028-01-31|,Vad är giltighetstiden för produktgodkännandet av Mavrik?,"passage: Reg nr: 5814, Produktnamn: Zorvec Enicade

|Kategori|Villkor|Anmärkning|Ändring|
|---|---|---|---|
|Personlig skyddsutrustning|Skyddshandskar ska användas vid hantering av produkten samt vid arbetsmoment som innebär risk för kontakt med brukslösning. Andra hälsoskyddsåtgärder får användas om de ger minst motsvarande skydd.|Villkoret är till för att skydda mot växtskyddsmedlets hälsorisker.||


1 (1)",5814_Bilaga_Villkor_för_användning_2024-10-31.pdf_chunk2,No LLM answer
DC_4491_002R1,4491_bilaga_villkor_för_användning_2025-06-17,4491_bilaga_villkor_för_användning_2025-06-17,True,"[1, 2, 3]",1,True,0.45091986656188965,0.0,0,0.0,0,True,False,Easy,Mavrik,"|Höstvete, höstråg, höstrågvete och höstkorn|Vårvete, vårråg, vårrågvete, vårkorn och havre|Lin, raps och rybs|Raps och rybs|Potatis|Ärtor - färska|Ärtor - torkade|Bönor - torkade|Huvudkål, brysselkål, blomkål och broccoli|Äpple och päron|Morot|Socker-, foder- och rödbetor|",Vilka grödor får Mavrik användas på?,"passage: Reg nr: 4491, Produktnamn: Mavrik

**Beslutsbilaga 3**

Datum: 2025-06-17

Aktnr: F-1759


Regnr: 4491

Diarienr: 5.1.1-B25-00218

# **Villkor för användning av Mavrik **

De beslutade villkoren riktar sig till innehavaren av produktgodkännandet. Ändringar sedan förra produktgodkännandet är markerade med X.

Som användare är du skyldig att följa växtskyddsmedlets etikett och bruksanvisning.
## **Användning och syfte **",4491_Bilaga_Villkor_för_användning_2025-06-17.pdf_chunk1,No LLM answer
DC_4491_002R2,4491_bilaga_villkor_för_användning_2025-06-17,5389_bilaga_villkor_för_användning_2025-07-02,False,"[1, 2, 3]",1,False,0.4726526141166687,0.0,0,0.0,0,True,False,Easy,Mavrik,"|Höstvete, höstråg, höstrågvete och höstkorn|Vårvete, vårråg, vårrågvete, vårkorn och havre|Lin, raps och rybs|Raps och rybs|Potatis|Ärtor - färska|Ärtor - torkade|Bönor - torkade|Huvudkål, brysselkål, blomkål och broccoli|Äpple och päron|Morot|Socker-, foder- och rödbetor|",Vilka grödor får Mavrik användas på?,"passage: Reg nr: 5389, Produktnamn: Gallery

**Beslutsbilaga 3**

Datum: 2025-07-02

Aktnr: F-3732


Regnr: 5389

Diarienr: 5.1.1-B25-00308

# **Villkor för användning av Gallery **

De beslutade villkoren riktar sig till innehavaren av produktgodkännandet. Ändringar sedan förra produktgodkännandet är markerade med X.

Som användare är du skyldig att följa växtskyddsmedlets etikett och bruksanvisning.
## **Användning och syfte **",5389_Bilaga_Villkor_för_användning_2025-07-02.pdf_chunk1,No LLM answer
DC_4491_002R3,4491_bilaga_villkor_för_användning_2025-06-17,5510_bilaga_villkor_för_användning_2025-06-12,False,"[1, 2, 3]",1,False,0.48045092821121216,0.0,0,0.0,0,True,False,Easy,Mavrik,"|Höstvete, höstråg, höstrågvete och höstkorn|Vårvete, vårråg, vårrågvete, vårkorn och havre|Lin, raps och rybs|Raps och rybs|Potatis|Ärtor - färska|Ärtor - torkade|Bönor - torkade|Huvudkål, brysselkål, blomkål och broccoli|Äpple och päron|Morot|Socker-, foder- och rödbetor|",Vilka grödor får Mavrik användas på?,"passage: Reg nr: 5510, Produktnamn: Pico 750 WG

**Beslutsbilaga 3**

Datum: 2025-06-12

Aktnr: F-2567


Regnr: 5510

Diarienr: 5.1.1-B24-00648

# **Villkor för användning av Pico 750 WG **

De beslutade villkoren riktar sig till innehavaren av produktgodkännandet. Ändringar sedan förra produktgodkännandet är markerade med X.

Som användare är du skyldig att följa växtskyddsmedlets etikett och bruksanvisning.
## **Användning och syfte **",5510_Bilaga_Villkor_för_användning_2025-06-12.pdf_chunk1,No LLM answer
DC_4491_002R4,4491_bilaga_villkor_för_användning_2025-06-17,5584_bilaga_villkor_för_användning_2025-06-25,False,"[1, 2, 3]",1,False,0.48434436321258545,0.0,0,0.0,0,True,False,Easy,Mavrik,"|Höstvete, höstråg, höstrågvete och höstkorn|Vårvete, vårråg, vårrågvete, vårkorn och havre|Lin, raps och rybs|Raps och rybs|Potatis|Ärtor - färska|Ärtor - torkade|Bönor - torkade|Huvudkål, brysselkål, blomkål och broccoli|Äpple och päron|Morot|Socker-, foder- och rödbetor|",Vilka grödor får Mavrik användas på?,"passage: Reg nr: 5584, Produktnamn: Revystar XL

**Beslutsbilaga 3**

Datum: 2025-06-25

Aktnr: F-4650


Regnr: 5584

Diarienr: 5.1.1-B25-00259

# **Villkor för användning av Revystar XL **

De beslutade villkoren riktar sig till innehavaren av produktgodkännandet. Ändringar sedan förra produktgodkännandet är markerade med X.

Som användare är du skyldig att följa växtskyddsmedlets etikett och bruksanvisning.
## **Användning och syfte **",5584_Bilaga_Villkor_för_användning_2025-06-25.pdf_chunk1,No LLM answer
DC_4491_002R5,4491_bilaga_villkor_för_användning_2025-06-17,5334_bilaga_villkor_för_användning_2025-06-17,False,"[1, 2, 3]",1,False,0.4889073371887207,0.0,0,0.0,0,True,False,Easy,Mavrik,"|Höstvete, höstråg, höstrågvete och höstkorn|Vårvete, vårråg, vårrågvete, vårkorn och havre|Lin, raps och rybs|Raps och rybs|Potatis|Ärtor - färska|Ärtor - torkade|Bönor - torkade|Huvudkål, brysselkål, blomkål och broccoli|Äpple och päron|Morot|Socker-, foder- och rödbetor|",Vilka grödor får Mavrik användas på?,"passage: Reg nr: 5334, Produktnamn: Nissorun SC

**Beslutsbilaga 3**

Datum: 2025-06-17

Aktnr: F-4434


Regnr: 5334

Diarienr: 5.1.1-B25-00249

# **Villkor för användning av NissorunSC **

De beslutade villkoren riktar sig till innehavaren av produktgodkännandet. Ändringar sedan förra produktgodkännandet är markerade med X.

Som användare är du skyldig att följa växtskyddsmedlets etikett och bruksanvisning.
## **Användning och syfte **",5334_Bilaga_Villkor_för_användning_2025-06-17.pdf_chunk1,No LLM answer
