Result_Id,Correct_File,Guessed_File,Filename_Match,Correct_Pages,Guessed_Page,Page_Match,Distance,Text_Match_Start_Percent,Match_Length_Start,Text_Match_End_Percent,Match_Length_End,No_match,Match_Threshold,Difficulty,Category,Expected_answer,Question,Returned_Chunk,Chunk_Id,LLM_ANS
DC_4491_001R1,4491_bilaga_villkor_2025-06-17,4491_bilaga_villkor_för_användning_2025-06-17,False,[1],1,False,0.3072863817214966,0.0,0,0.0,0,True,False,Easy,Mavrik,Från och med 2025-06-17 Till och med 2028-01-31. Tabell: 1_no_title,Vad är giltighetstiden för produktgodkännandet av Mavrik?,"                                                                              Beslutsbilaga 3
                                                                         Datum: 2025-06-17          Regnr: 4491
                                                                                          Aktnr: F-1759                  Diarienr: 5.1.1-B25-00218


Villkor för användning av Mavrik
De beslutade villkoren riktar sig till innehavaren av produktgodkännandet. Ändringar sedan förra produktgodkännandet är markerade med X.
Som användare är du skyldig att följa växtskyddsmedlets",4491_Bilaga_Villkor_för_användning_2025-06-17.pdf_chunk1,No LLM answer
DC_4491_001R2,4491_bilaga_villkor_2025-06-17,4491_bilaga_villkor_2025-06-17,True,[1],1,True,0.33389800786972046,0.0,0,0.0,0,True,False,Easy,Mavrik,Från och med 2025-06-17 Till och med 2028-01-31. Tabell: 1_no_title,Vad är giltighetstiden för produktgodkännandet av Mavrik?,"                                       BESLUTSBILAGA

                                                                      Beslutsdatum                   Diarienr
                                                     2025-06-17            5.1.1-B25-00218

                                                                 Produktnamn                 Aktnr         Regnr
                                                   Mavrik               F-1759    4491




Bilaga 1 ‒ Villkor för förnyat och/eller ändrat produktgodkännande
De uppgifter som har ändrats sedan föregående prövning är markerade med ett [X] till höger på samma
rad",4491_Bilaga_Villkor_2025-06-17.pdf_chunk1,No LLM answer
DC_4491_001R3,4491_bilaga_villkor_2025-06-17,4491_bilaga_villkor_2025-06-17,True,[1],1,True,0.4108079671859741,27.083333333333332,13,0.0,0,False,False,Easy,Mavrik,Från och med 2025-06-17 Till och med 2028-01-31. Tabell: 1_no_title,Vad är giltighetstiden för produktgodkännandet av Mavrik?,".

                                                                                                    Ändring

 Typ av bekämpningsmedel     Växtskyddsmedel
 Produktnamn               Mavrik

 Registreringsnummer        4491

 Behörighetsklass            2 L
 Giltighetstid                      Från och med                                          Till och med               X
                          2025-06-17                    2028-01-31
 Innehavare          ADAMA Registrations B.V.
                          P.O. Box. 355
                       NL-3830 AK Leusden
                NEDERLÄNDERNA
 Omb",4491_Bilaga_Villkor_2025-06-17.pdf_chunk2,No LLM answer
DC_4491_001R4,4491_bilaga_villkor_2025-06-17,5310_beslut_anstånd_2022-10-01,False,[1],1,False,0.46948885917663574,0.0,0,0.0,0,True,False,Easy,Mavrik,Från och med 2025-06-17 Till och med 2028-01-31. Tabell: 1_no_title,Vad är giltighetstiden för produktgodkännandet av Mavrik?,"EG) nr 1107/20091.
           Anståndsperioden får inte överstiga sex månader för försäljning och distribution
          samt ytterligare högst ett år för att befintliga lager av växtskyddsmedlet ska
             bortskaffas, lagras och användas.

         Mot bakgrund av ovanstående beviljar vi anstånd för utfasning av er produkt med
            registreringsnummer 5310.
     2019-06-18
    MAP-0096,
    Mall-id:
                 ",5310_Beslut_Anstånd_2022-10-01.pdf_chunk5,No LLM answer
DC_4491_001R5,4491_bilaga_villkor_2025-06-17,5313_bilaga_villkor_2025-06-16,False,[1],1,False,0.47877877950668335,0.0,0,0.0,0,True,False,Easy,Mavrik,Från och med 2025-06-17 Till och med 2028-01-31. Tabell: 1_no_title,Vad är giltighetstiden för produktgodkännandet av Mavrik?,"                                       BESLUTSBILAGA

                                                                      Beslutsdatum                   Diarienr
                                                     2025-06-16            5.1.1-B25-00293

                                                                 Produktnamn                 Aktnr         Regnr
                                      RAK3+4             F-4408    5313




Bilaga 1 ‒ Villkor för förnyat och/eller ändrat produktgodkännande
De uppgifter som har ändrats sedan föregående prövning är markerade med ett [X] till höger på samma",5313_Bilaga_Villkor_2025-06-16.pdf_chunk1,No LLM answer
DC_4491_002R1,4491_bilaga_villkor_för_användning_2025-06-17,4491_bilaga_villkor_för_användning_2025-06-17,True,"[1, 2, 3]",1,True,0.4098922610282898,0.0,0,0.0,0,True,False,Easy,Mavrik,"Tabell: Användning och syfte, Col: Gröda/situation",Vilka grödor får Mavrik användas på?,"                                                                              Beslutsbilaga 3
                                                                         Datum: 2025-06-17          Regnr: 4491
                                                                                          Aktnr: F-1759                  Diarienr: 5.1.1-B25-00218


Villkor för användning av Mavrik
De beslutade villkoren riktar sig till innehavaren av produktgodkännandet. Ändringar sedan förra produktgodkännandet är markerade med X.
Som användare är du skyldig att följa växtskyddsmedlets",4491_Bilaga_Villkor_för_användning_2025-06-17.pdf_chunk1,No LLM answer
DC_4491_002R2,4491_bilaga_villkor_för_användning_2025-06-17,4491_bilaga_villkor_2025-06-17,False,"[1, 2, 3]",1,False,0.46339482069015503,0.0,0,10.0,5,False,False,Easy,Mavrik,"Tabell: Användning och syfte, Col: Gröda/situation",Vilka grödor får Mavrik användas på?,".

                                                                                                    Ändring

 Typ av bekämpningsmedel     Växtskyddsmedel
 Produktnamn               Mavrik

 Registreringsnummer        4491

 Behörighetsklass            2 L
 Giltighetstid                      Från och med                                          Till och med               X
                          2025-06-17                    2028-01-31
 Innehavare          ADAMA Registrations B.V.
                          P.O. Box. 355
                       NL-3830 AK Leusden
                NEDERLÄNDERNA
 Omb",4491_Bilaga_Villkor_2025-06-17.pdf_chunk2,No LLM answer
DC_4491_002R3,4491_bilaga_villkor_för_användning_2025-06-17,4491_bilaga_villkor_2025-06-17,False,"[1, 2, 3]",1,False,0.5422890782356262,0.0,0,0.0,0,True,False,Easy,Mavrik,"Tabell: Användning och syfte, Col: Gröda/situation",Vilka grödor får Mavrik användas på?,"                                       BESLUTSBILAGA

                                                                      Beslutsdatum                   Diarienr
                                                     2025-06-17            5.1.1-B25-00218

                                                                 Produktnamn                 Aktnr         Regnr
                                                   Mavrik               F-1759    4491




Bilaga 1 ‒ Villkor för förnyat och/eller ändrat produktgodkännande
De uppgifter som har ändrats sedan föregående prövning är markerade med ett [X] till höger på samma
rad",4491_Bilaga_Villkor_2025-06-17.pdf_chunk1,No LLM answer
DC_4491_002R4,4491_bilaga_villkor_för_användning_2025-06-17,5893_bilaga_användningsvillkor_2025-06-12,False,"[1, 2, 3]",1,False,0.564589262008667,0.0,0,0.0,0,True,False,Easy,Mavrik,"Tabell: Användning och syfte, Col: Gröda/situation",Vilka grödor får Mavrik användas på?," 40 g acetamiprid/ha
  vårvete,                    (Limothrips
 vårrågvete                  denticornis) och
 och                       bladlöss
 vårhavre
 Höstkorn,               Mot sädestrips    Bomspruta   BBCH 30-69   1 per år                              200 mL/ha   40 g acetamiprid/ha  Om behandling ska utföras
 höstvete,                   (Limothrips                                                                                                                               varje år på samma fält får
 höstråg,                    dentic",5893_Bilaga_Användningsvillkor_2025-06-12.pdf_chunk4,No LLM answer
DC_4491_002R5,4491_bilaga_villkor_för_användning_2025-06-17,4491_bilaga_villkor_för_användning_2025-06-17,True,"[1, 2, 3]",2,True,0.5710105895996094,0.0,0,0.0,0,True,False,Easy,Mavrik,"Tabell: Användning och syfte, Col: Gröda/situation",Vilka grödor får Mavrik användas på?,"orkade                   insekts-                                                                                                            fluvalinat/ha
                      angrepp
Huvudkål,             Mot         Bomspruta    BBCH 10–49    1 per år                  7              0,3 L/ha   72 g tau-
brysselkål,                insekts-                                                                                                            fluvalinat/ha
blomkål och            angrepp
broccoli
Äpple och             Mot          Fläktspruta    BBCH 52–79    2 per år    10            30            ",4491_Bilaga_Villkor_för_användning_2025-06-17.pdf_chunk9,No LLM answer
