Result_Id,Correct_File,Guessed_File,Filename_Match,Correct_Pages,Guessed_Page,Page_Match,Distance,Text_Match_Start_Percent,Match_Length_Start,Text_Match_End_Percent,Match_Length_End,No_match,Match_Threshold,Difficulty,Category,Expected_answer,Question,Returned_Chunk,Chunk_Id,LLM_ANS
DC_4491_001R1,4491_bilaga_villkor_2025-06-17,4491_bilaga_villkor_2025-06-17,True,[1],"1,2",True,0.389384925365448,27.083333333333332,13,0.0,0,False,False,Easy,Mavrik,Från och med 2025-06-17 Till och med 2028-01-31. Tabell: 1_no_title,Vad är giltighetstiden för produktgodkännandet av Mavrik?,"BESLUTSBILAGA Beslutsdatum Diarienr 2025-06-17 5.1.1-B25-00218 Produktnamn Aktnr Regnr Mavrik F-1759 4491 Bilaga 1 ‒ Villkor för förnyat och/eller ändrat produktgodkännande De uppgifter som har ändrats sedan föregående prövning är markerade med ett [X] till höger på samma rad. Ändring Typ av bekämpningsmedel Växtskyddsmedel Produktnamn Mavrik Registreringsnummer 4491 Behörighetsklass 2 L Giltighetstid Från och med Till och med X 2025-06-17 2028-01-31 Innehavare ADAMA Registrations B.V. P.O. Box. 355 NL-3830 AK Leusden NEDERLÄNDERNA Ombud --Funktion IN – Insekticid Produktkod MCW-5022 Beredningsform EW-Emulsion, olja i vatten Förpackningsvillkor Upp till 5 L HDPE-förpackningar. Märkningskrav Sista användningsdag vid rekommenderade lagringsförhållanden ska anges i märkningen. Av märkningen ska framgå att hållbarheten är begränsad och att sista användningsdag är 2 år efter tillverkning. SP1 Förorena inte vatten med produkten eller dess behållare. Verksamma ämnen Cas-nr Halt Enhet Kandidat- Lågrisk- Ändring ämne ämne för substitution Tau-fluvalinat 102851-06-9 240 g/l Upplysningar --Mall-id: RSP-0002-S_Vaxt, 2020-12-18 1(2) BESLUTSBILAGA Beslutsdatum Diarienr 2025-06-17 5.1.1-B25-00218 Produktnamn Aktnr Regnr Mavrik F-1759 4491 Bilaga 2 ‒ Innehavarens uppgifter om klassificering och märkning enligt CLP Här redovisas innehavarens uppgifter om produktens klassificering och märkning enligt förordning (EG) nr 1272/2008 (CLP). De uppgifter som har ändrats sedan föregående prövning är markerade med ett [X] till höger på samma rad. Ämnen av betydelse för klassificering och märkning Ämnesnamn Cas-nr Typ Ändring Tau-fluvalinat 102851-06-9 Verksamt ämne Klassificering Faroklass och farokategori Ändring 4.1 Farligt för vattenmiljön, akut fara - Kategori: Akut 1 4.1 Farligt för vattenmiljön, fara för skadliga långtidseffekter - Kategori: Kronisk 1 Märkning Faroangivelser Ändring H410 Mycket giftigt för vattenlevande organismer med långtidseffekter EUH401 För att undvika risker för människors hälsa och för miljön, följ bruksanvisningen. Skyddsangivelser Ändring P501 Innehållet och behållaren lämnas till godkänd avfallsmottagare. Piktogram och signalord Ändring GHS09 Varning Mall-id: RSP-0002-S_Vaxt, 2020-12-18 2(2)",4491_Bilaga_Villkor_2025-06-17.pdf_chunk1,No LLM answer
DC_4491_001R2,4491_bilaga_villkor_2025-06-17,5313_bilaga_villkor_2025-06-16,False,[1],"1,2",False,0.4989680051803589,27.083333333333332,13,0.0,0,False,False,Easy,Mavrik,Från och med 2025-06-17 Till och med 2028-01-31. Tabell: 1_no_title,Vad är giltighetstiden för produktgodkännandet av Mavrik?,"BESLUTSBILAGA Beslutsdatum Diarienr 2025-06-16 5.1.1-B25-00293 Produktnamn Aktnr Regnr RAK3+4 F-4408 5313 Bilaga 1 ‒ Villkor för förnyat och/eller ändrat produktgodkännande De uppgifter som har ändrats sedan föregående prövning är markerade med ett [X] till höger på samma rad. Ändring Typ av bekämpningsmedel Växtskyddsmedel Produktnamn RAK3+4 Registreringsnummer 5313 Behörighetsklass 2 L Giltighetstid Från och med Till och med X 2025-06-16 2027-09-30 Innehavare BASF AB Box 7144 402 33 Göteborg Ombud BASF A/S Kalvebod Brygge 45, 2 DK-1560 København V DANMARK Funktion AT – Attrahent (attraktant) IN – Insekticid Produktkod BAS 295 02 I Beredningsform VP-Preparat som avger verksam beståndsdel i gasform Förpackningsvillkor Dispenser av etylen-vinylacetat co-polymer (EVA) med två kammare. Max 3 mL vardera. Ytterförpackning i form av LDPE foliepåse. Märkningskrav Av märkningen ska framgå att hållbarheten är begränsad och att sista användningsdag vid rekommenderade lagringsförhållanden är 12 månader efter tillverkningsdatum. Av märkningen ska framgå att produkten inte får förvaras i en temperatur som överstiger -18°C. Av märkningen ska framgå att ampullerna ska förvaras i obruten ytterförpackning. När ytterförpackningen har brutits ska ampullerna användas omgående. Överblivna ampuller ska destrueras. SP1 Förorena inte vatten med produkten eller dess behållare. Verksamma ämnen Cas-nr Halt Enhet Kandidat- Lågrisk- Ändring ämne ämne för substitution E,E-8,10-Dodekadien-1-ol 33956-49-9 35 vikt% (Z)-11-tetradecen-1-yl acetat 20711-10-8 37 vikt% Mall-id: RSP-0002-S_Vaxt, 2020-12-18 1(4) BESLUTSBILAGA Beslutsdatum Diarienr 2025-06-16 5.1.1-B25-00293 Produktnamn Aktnr Regnr RAK3+4 F-4408 5313 Tetradekylacetat 638-59-5 17,1 vikt% Upplysningar --Mall-id: RSP-0002-S_Vaxt, 2020-12-18 2(4)",5313_Bilaga_Villkor_2025-06-16.pdf_chunk1,No LLM answer
DC_4491_001R3,4491_bilaga_villkor_2025-06-17,4491_bilaga_villkor_för_användning_2025-06-17,False,[1],1,False,0.5170395970344543,0.0,0,0.0,0,True,False,Easy,Mavrik,Från och med 2025-06-17 Till och med 2028-01-31. Tabell: 1_no_title,Vad är giltighetstiden för produktgodkännandet av Mavrik?,"Beslutsbilaga 3 Datum: 2025-06-17 Regnr: 4491 Aktnr: F-1759 Diarienr: 5.1.1-B25-00218 Villkor för användning av Mavrik De beslutade villkoren riktar sig till innehavaren av produktgodkännandet. Ändringar sedan förra produktgodkännandet är markerade med X. Som användare är du skyldig att följa växtskyddsmedlets etikett och bruksanvisning. Användning och syfte Gröda/ Var/ Syfte Behandlings- Utvecklings- Max antal Minst antal Minst antal Max dos vid en enskild Övriga villkor och Ändring situation område utrustning/ stadium/ behand- dagar mellan dagar mellan behandling på den yta som förtydliganden metod tidpunkt lingar varje behandling sista behandlas behandling Produkt Verksamt ämne och skörd Höstvete, Mot Bomspruta BBCH 10–75 3 per 10 30 0,2 L/ha 48 g tau- Max 1 applicering höstråg, insekts- säsong fluvalinat/ha på hösten och 2 höstrågvete angrepp appliceringar på och höstkorn våren Vårvete, Mot Bomspruta BBCH 10–75 2 per år 10 30 0,2 L/ha 48 g tauvårråg, insekts- fluvalinat/ha vårrågvete, angrepp vårkorn och havre Lin, raps och Mot Bomspruta BBCH 10–19 1 per år 60 0,2 L/ha 48 g taurybs insekts- fluvalinat/ha angrepp Raps och Mot Bomspruta BBCH 30–71 2 per år 7 60 0,2 L/ha 48 g taurybs insekts- fluvalinat/ha angrepp Potatis Mot Bomspruta BBCH 12–49 2 per år 14 7 0,2 L/ha 48 g tauinsekts- fluvalinat/ha angrepp Ärtor - färska Mot Bomspruta BBCH 10–79 2 per år 14 7 0,2 L/ha 48 g tauinsekts- fluvalinat/ha angrepp Ärtor - Mot Bomspruta BBCH 10–79 2 per år 14 14 0,2 L/ha 48 g tautorkade insekts- fluvalinat/ha angrepp 1 (4)",4491_Bilaga_Villkor_för_användning_2025-06-17.pdf_chunk1,No LLM answer
DC_4491_001R4,4491_bilaga_villkor_2025-06-17,5310_beslut_anstånd_2022-10-01,False,[1],1,False,0.5287594795227051,0.0,0,0.0,0,True,False,Easy,Mavrik,Från och med 2025-06-17 Till och med 2028-01-31. Tabell: 1_no_title,Vad är giltighetstiden för produktgodkännandet av Mavrik?,"BESLUT Datum Diarienr 2022-07-07 5.1.1-B18-00517 Er referens Aktnr Regnr F-3992 5310 Certis Europe BV Postbus 607 3500AP Utrecht NEDERLÄNDERNA Beslut om anstånd för utfasning för växtskyddsmedlet Latitude XL med registreringsnummer 5310 1 Beslut Kemikalieinspektionen beslutar om följande anståndsperioder för Latitude XL med registreringsnummer 5310. Produkter som tillverkats innan godkännandet 2023-03-31 upphörde får släppas ut på marknaden av innehavaren till och med: Produkter som tillverkats innan godkännandet 2023-03-31 upphörde får släppas ut på marknaden av andra än innehavaren till och med: Produkten får bortskaffas, lagras och 2024-03-31 användas tom: 2 Beskrivning av ärendet Den 7 juli 2022 beslutade Kemikalieinspektionen att förnya produktgodkännandet för Latitude XL. I och med förnyelsen av produktgodkännandet gav vi produkten ett nytt registreringsnummer. Det nya registreringsnumret är 5781. 3 Skäl Om en medlemsstat återkallar, ändrar eller inte förnyar ett produktgodkännande får den bevilja en anståndsperiod för att befintliga lager ska kunna avyttras, magasineras eller släppas ut på marknaden. Om skälen till att produktgodkännandet inte förnyas avser skyddet av människors och djurs hälsa eller miljön, ska ingen anståndsperiod beviljas. Detta framgår av artikel 46 i förordning (EG) nr 1107/20091. Anståndsperioden får inte överstiga sex månader för försäljning och distribution samt ytterligare högst ett år för att befintliga lager av växtskyddsmedlet ska bortskaffas, lagras och användas. Mot bakgrund av ovanstående beviljar vi anstånd för utfasning av er produkt med registreringsnummer 5310. 2019-06-18 MAP-0096, Mall-id: 1 Europaparlamentets och rådets förordning (EG) nr 1107/2009 av den 21 oktober 2009 om utsläppande av växtskyddsmedel på marknaden och om upphävande av rådets direktiv 79/117/EEG och 91/414/EEG. Kemikalieinspektionen Postadress Besök & leverans Faktureringsadress Telefon & fax Internet Org nr Box 2 Esplanaden 3A FE 124 Telefon 08-519 41 100 www.kemi.se 202100-3880 172 13 Sundbyberg 172 67 Sundbyberg 838 80 Frösön Fax 08-735 76 98 kemi@kemi.se",5310_Beslut_Anstånd_2022-10-01.pdf_chunk1,No LLM answer
DC_4491_001R5,4491_bilaga_villkor_2025-06-17,5584_bilaga_villkor_2025-06-25,False,[1],"1,2",False,0.5351685881614685,27.083333333333332,13,0.0,0,False,False,Easy,Mavrik,Från och med 2025-06-17 Till och med 2028-01-31. Tabell: 1_no_title,Vad är giltighetstiden för produktgodkännandet av Mavrik?,"BESLUTSBILAGA Beslutsdatum Diarienr 2025-06-25 5.1.1-B25-00259 Produktnamn Aktnr Regnr Revystar XL F-4650 5584 Bilaga 1 ‒ Villkor för förnyat och/eller ändrat produktgodkännande De uppgifter som har ändrats sedan föregående prövning är markerade med ett [X] till höger på samma rad. Ändring Typ av bekämpningsmedel Växtskyddsmedel Produktnamn Revystar XL Registreringsnummer 5584 Behörighetsklass 2 L Giltighetstid Från och med Till och med X 2025-06-25 2026-05-31 Innehavare BASF AB Box 7144 402 33 Göteborg Ombud BASF A/S Kalvebod Brygge 45, 2 DK-1560 København V DANMARK Funktion FU – Fungicid Produktkod BAS 752 00 F Beredningsform EC-Emulgerbart koncentrat Förpackningsvillkor HDPE-förpackning max 50 L Märkningskrav SP1 Förorena inte vatten med produkten eller dess behållare. Mefentriflukonazol ger upphov till bildandet av 1,2,4-triazol. Verksamma ämnen Cas-nr Halt Enhet Kandidat- Lågrisk- Ändring ämne ämne för substitution Mefentriflukonazol 1417782-03- 100 g/l 6 Fluxapyroxad 907204-31-3 50 g/l Upplysningar --Mall-id: RSP-0002-S_Vaxt, 2020-12-18 1(4) BESLUTSBILAGA Beslutsdatum Diarienr 2025-06-25 5.1.1-B25-00259 Produktnamn Aktnr Regnr Revystar XL F-4650 5584 Bilaga 2 ‒ Innehavarens uppgifter om klassificering och märkning enligt CLP Här redovisas innehavarens uppgifter om produktens klassificering och märkning enligt förordning (EG) nr 1272/2008 (CLP). De uppgifter som har ändrats sedan föregående prövning är markerade med ett [X] till höger på samma rad. Ämnen av betydelse för klassificering och märkning Ämnesnamn Cas-nr Typ Ändring Mefentriflukonazol 1417782-03-6 Verksamt ämne Fluxapyroxad 907204-31-3 Verksamt ämne 2-Propensyra, 2-metyl-, polymer med tert-Bu akrylat, 1515872-09-9 Övrigt ämne Me metakrylat, polyetylenglykolmetakrylat C16-18alkyletrar och vinylpyrrolidon, tert-Bu 2etylhexanperoxoat-initierad, föreningar med –amino2-metyl-1-propanol Klassificering Faroklass och farokategori Ändring 3.1 Akut toxicitet - Kategori 4 3.2 Frätande eller irriterande på huden - Kategori 2 3.3 Allvarlig ögonskada eller ögonirritation - Kategori 2 3.7 Reproduktionstoxicitet - Tilläggskategori för effekter på eller via amning 3.8 Specifik organtoxicitet, enstaka exponering - Kategori 3 4.1 Farligt för vattenmiljön, akut fara - Kategori: Akut 1 4.1 Farligt för vattenmiljön, fara för skadliga långtidseffekter - Kategori: Kronisk 1 3.4 Hudsensibilisering - Kategori 1 Mall-id: RSP-0002-S_Vaxt, 2020-12-18 2(4)",5584_Bilaga_Villkor_2025-06-25.pdf_chunk1,No LLM answer
DC_4491_002R1,4491_bilaga_villkor_för_användning_2025-06-17,4491_bilaga_villkor_2025-06-17,False,"[1, 2, 3]","1,2",False,0.48720890283584595,0.0,0,10.0,5,False,False,Easy,Mavrik,"Tabell: Användning och syfte, Col: Gröda/situation",Vilka grödor får Mavrik användas på?,"BESLUTSBILAGA Beslutsdatum Diarienr 2025-06-17 5.1.1-B25-00218 Produktnamn Aktnr Regnr Mavrik F-1759 4491 Bilaga 1 ‒ Villkor för förnyat och/eller ändrat produktgodkännande De uppgifter som har ändrats sedan föregående prövning är markerade med ett [X] till höger på samma rad. Ändring Typ av bekämpningsmedel Växtskyddsmedel Produktnamn Mavrik Registreringsnummer 4491 Behörighetsklass 2 L Giltighetstid Från och med Till och med X 2025-06-17 2028-01-31 Innehavare ADAMA Registrations B.V. P.O. Box. 355 NL-3830 AK Leusden NEDERLÄNDERNA Ombud --Funktion IN – Insekticid Produktkod MCW-5022 Beredningsform EW-Emulsion, olja i vatten Förpackningsvillkor Upp till 5 L HDPE-förpackningar. Märkningskrav Sista användningsdag vid rekommenderade lagringsförhållanden ska anges i märkningen. Av märkningen ska framgå att hållbarheten är begränsad och att sista användningsdag är 2 år efter tillverkning. SP1 Förorena inte vatten med produkten eller dess behållare. Verksamma ämnen Cas-nr Halt Enhet Kandidat- Lågrisk- Ändring ämne ämne för substitution Tau-fluvalinat 102851-06-9 240 g/l Upplysningar --Mall-id: RSP-0002-S_Vaxt, 2020-12-18 1(2) BESLUTSBILAGA Beslutsdatum Diarienr 2025-06-17 5.1.1-B25-00218 Produktnamn Aktnr Regnr Mavrik F-1759 4491 Bilaga 2 ‒ Innehavarens uppgifter om klassificering och märkning enligt CLP Här redovisas innehavarens uppgifter om produktens klassificering och märkning enligt förordning (EG) nr 1272/2008 (CLP). De uppgifter som har ändrats sedan föregående prövning är markerade med ett [X] till höger på samma rad. Ämnen av betydelse för klassificering och märkning Ämnesnamn Cas-nr Typ Ändring Tau-fluvalinat 102851-06-9 Verksamt ämne Klassificering Faroklass och farokategori Ändring 4.1 Farligt för vattenmiljön, akut fara - Kategori: Akut 1 4.1 Farligt för vattenmiljön, fara för skadliga långtidseffekter - Kategori: Kronisk 1 Märkning Faroangivelser Ändring H410 Mycket giftigt för vattenlevande organismer med långtidseffekter EUH401 För att undvika risker för människors hälsa och för miljön, följ bruksanvisningen. Skyddsangivelser Ändring P501 Innehållet och behållaren lämnas till godkänd avfallsmottagare. Piktogram och signalord Ändring GHS09 Varning Mall-id: RSP-0002-S_Vaxt, 2020-12-18 2(2)",4491_Bilaga_Villkor_2025-06-17.pdf_chunk1,No LLM answer
DC_4491_002R2,4491_bilaga_villkor_för_användning_2025-06-17,4491_bilaga_villkor_för_användning_2025-06-17,True,"[1, 2, 3]",1,True,0.4944683909416199,0.0,0,18.0,9,False,False,Easy,Mavrik,"Tabell: Användning och syfte, Col: Gröda/situation",Vilka grödor får Mavrik användas på?,"Beslutsbilaga 3 Datum: 2025-06-17 Regnr: 4491 Aktnr: F-1759 Diarienr: 5.1.1-B25-00218 Villkor för användning av Mavrik De beslutade villkoren riktar sig till innehavaren av produktgodkännandet. Ändringar sedan förra produktgodkännandet är markerade med X. Som användare är du skyldig att följa växtskyddsmedlets etikett och bruksanvisning. Användning och syfte Gröda/ Var/ Syfte Behandlings- Utvecklings- Max antal Minst antal Minst antal Max dos vid en enskild Övriga villkor och Ändring situation område utrustning/ stadium/ behand- dagar mellan dagar mellan behandling på den yta som förtydliganden metod tidpunkt lingar varje behandling sista behandlas behandling Produkt Verksamt ämne och skörd Höstvete, Mot Bomspruta BBCH 10–75 3 per 10 30 0,2 L/ha 48 g tau- Max 1 applicering höstråg, insekts- säsong fluvalinat/ha på hösten och 2 höstrågvete angrepp appliceringar på och höstkorn våren Vårvete, Mot Bomspruta BBCH 10–75 2 per år 10 30 0,2 L/ha 48 g tauvårråg, insekts- fluvalinat/ha vårrågvete, angrepp vårkorn och havre Lin, raps och Mot Bomspruta BBCH 10–19 1 per år 60 0,2 L/ha 48 g taurybs insekts- fluvalinat/ha angrepp Raps och Mot Bomspruta BBCH 30–71 2 per år 7 60 0,2 L/ha 48 g taurybs insekts- fluvalinat/ha angrepp Potatis Mot Bomspruta BBCH 12–49 2 per år 14 7 0,2 L/ha 48 g tauinsekts- fluvalinat/ha angrepp Ärtor - färska Mot Bomspruta BBCH 10–79 2 per år 14 7 0,2 L/ha 48 g tauinsekts- fluvalinat/ha angrepp Ärtor - Mot Bomspruta BBCH 10–79 2 per år 14 14 0,2 L/ha 48 g tautorkade insekts- fluvalinat/ha angrepp 1 (4)",4491_Bilaga_Villkor_för_användning_2025-06-17.pdf_chunk1,No LLM answer
DC_4491_002R3,4491_bilaga_villkor_för_användning_2025-06-17,5345_beslut_villkor_för_användning_2025-06-24,False,"[1, 2, 3]",1,False,0.5677492618560791,0.0,0,18.0,9,False,False,Easy,Mavrik,"Tabell: Användning och syfte, Col: Gröda/situation",Vilka grödor får Mavrik användas på?,"Beslutsbilaga 3 Datum: 2025-06-24 Regnr: 5345 Aktnr: F-4507 Diarienr: 5.1.1-B25-00258 Villkor för användning av Priaxor De beslutade villkoren riktar sig till innehavaren av produktgodkännandet. Ändringar sedan förra produktgodkännandet är markerade med X. Som användare är du skyldig att följa växtskyddsmedlets etikett och bruksanvisning. Användning och syfte Gröda/ Var/ Syfte Behandlings- Utvecklings- Max antal Minst antal Minst antal Max dos vid en enskild behandling på Övriga villkor Ändring situation område utrustning/ stadium/ behand- dagar mellan dagar den yta som behandlas och metod tidpunkt lingar varje behandling mellan sista förtydliganden behandling Produkt Verksamt ämne och skörd Vete, korn, Mot Bomspruta BBCH 30–69 2 per år 7 35 1,5L/ha 112,5 g fluxapyroxad/ha Den totala råg, rågvete svamp- 225 g pyraklostrobin/ha maximala och havre angrepp dosen får inte överstiga 1,5 L produkt/ha. Ytterligare villkor Kategori Villkor Anmärkning Ändring Anpassade Ett anpassat skyddsavstånd ska bestämmas med hjälp av ”Hjälpreda vid bestämning av Villkoret är till för att skydda skyddsavstånd vid anpassade skyddsavstånd. Lantbruksspruta med bom”. vattenlevande organismer. spridning Personlig Skyddshandskar och skyddskläder ska användas vid hantering av produkten samt vid Villkoret är till för att skydda mot skyddsutrustning arbetsmoment som innebär risk för kontakt med brukslösning eller sprutdimma. växtskyddsmedlets hälsorisker. Andra hälsoskyddsåtgärder får användas om de ger minst motsvarande skydd. 1 (1)",5345_Beslut_Villkor_för_användning_2025-06-24.pdf_chunk1,No LLM answer
DC_4491_002R4,4491_bilaga_villkor_för_användning_2025-06-17,5584_bilaga_villkor_för_användning_2025-06-25,False,"[1, 2, 3]","1,2",False,0.5802547335624695,0.0,0,18.0,9,False,False,Easy,Mavrik,"Tabell: Användning och syfte, Col: Gröda/situation",Vilka grödor får Mavrik användas på?,"Beslutsbilaga 3 Datum: 2025-06-25 Regnr: 5584 Aktnr: F-4650 Diarienr: 5.1.1-B25-00259 Villkor för användning av Revystar XL De beslutade villkoren riktar sig till innehavaren av produktgodkännandet. Ändringar sedan förra produktgodkännandet är markerade med X. Som användare är du skyldig att följa växtskyddsmedlets etikett och bruksanvisning. Användning och syfte Gröda/ Var/ Syfte Behandlings- Utvecklings- Max antal Minst antal Minst antal Max dos vid en enskild behandling Övriga villkor och Ändring situation område utrustning/ stadium/ behand- dagar dagar på den yta som behandlas förtydliganden metod tidpunkt lingar mellan varje mellan sista behandling behandling Produkt Verksamt ämne och skörd Vete, korn Mot svamp- Bomspruta BBCH 30–69 2 per år 14 35 1,5 L/ha 150 g Totala maximala och angrepp mefentriflukonazol dosen får inte rågvete /ha överskrida 1,5 L/ha och år. Höstråg Mot svamp- Bomspruta BBCH 30–69 1 per år 35 1,5 L/ha 150 g angrepp mefentriflukonazol /ha Havre Mot svamp- Bomspruta BBCH 30–69 1 per år 35 1,5 L/ha 150 g angrepp mefentriflukonazol /ha Socker- Mot svamp- Bomspruta BBCH 39–49 2 per år 14 28 1,0 L/ha 100 g och angrepp mefentriflukonazol foderbeta /ha 1 (2) Datum: : 2025-06-25 Regnr: 5584 Aktnr: F-4650 Diarienr: 5.1.1-B25-00259 Ytterligare villkor Kategori Villkor Anmärkning Ändring Personlig Skyddshandskar, skyddskläder och ögonskydd ska användas vid hantering av Villkoret är till för att skydda mot skyddsutrustning produkten. Skyddshandskar ska användas vid arbetsmoment som innebär risk för växtskyddsmedlets hälsorisker kontakt med brukslösning eller sprutdimma. Andra hälsoskyddsåtgärder får användas om de ger minst motsvarande skydd. Vid återinträde i Skyddshandskar och arbetskläder (som täcker armar, ben och bål) ska användas vid Villkoret är till för att skydda mot behandlade områden återinträde i behandlade områden under de första 48 timmarna efter behandling. växtskyddsmedlets hälsorisker. Därefter ska arbetskläder (som täcker armar, ben och bål) användas i ytterligare 28 dygn vid återinträde i behandlade områden. Andra hälsoskyddsåtgärder får användas om de ger minst motsvarande skydd. 2 (2)",5584_Bilaga_Villkor_för_användning_2025-06-25.pdf_chunk1,No LLM answer
DC_4491_002R5,4491_bilaga_villkor_för_användning_2025-06-17,5893_bilaga_användningsvillkor_2025-06-12,False,"[1, 2, 3]",1,False,0.5872077941894531,0.0,0,18.0,9,False,False,Easy,Mavrik,"Tabell: Användning och syfte, Col: Gröda/situation",Vilka grödor får Mavrik användas på?,"Beslutsbilaga 3 Datum: 2025-06-12 Regnr: 5893 Aktnr: F-5009 Diarienr: 5.1.1-B24-00617 Villkor för användning av Carnadine De beslutade villkoren riktar sig till innehavaren av produktgodkännandet. Ändringar sedan förra produktgodkännandet är markerade med X. Som användare är du skyldig att följa växtskyddsmedlets etikett och bruksanvisning. Användning och syfte Gröda/ Var/ Syfte Behandlings Utvecklings- Max antal Minst antal Minst antal Max dos vid en enskild behandling Övriga villkor och Ändring situation område utrustning/ stadium/ behand- dagar dagar på den yta som behandlas förtydliganden metod tidpunkt lingar mellan varje mellan sista behandling behandling Produkt Verksamt ämne och skörd Potatis Mot kolorado- Bomspruta BBCH 40-79 1 per år 7 180 mL/ha 36 g acetamiprid/ha skalbagge (Leptinotarsa decemlineata) Vårkorn, Mot sädestrips Bomspruta BBCH 30-69 1 per år 200 mL/ha 40 g acetamiprid/ha vårvete, (Limothrips vårrågvete denticornis) och och bladlöss vårhavre Höstkorn, Mot sädestrips Bomspruta BBCH 30-69 1 per år 200 mL/ha 40 g acetamiprid/ha Om behandling ska utföras höstvete, (Limothrips varje år på samma fält får höstråg, denticornis) och maximalt 150 mL produkt höstrågvete bladlöss per hektar användas varje enskilt år. Om behandling ska utföras med mer än 150 mL produkt per hektar, får behandling endast ske en gång vartannat år på samma fält. Sockerbeta, Mot betbladlus Bomspruta BBCH 20-49 1 per år 250 mL/ha 50 g acetamiprid/ha Vid behandling mellan rödbeta och (Aphis fabae) BBCH 20-39 får foderbeta och betfluga behandlingen endast ske en (Pegomya gång vartannat år. hyoscyami) Ärter och Fält Mot bönsmyg, Bomspruta BBCH 40-71 1 per år 250 mL/ha 50 g acetamiprid/ha För att inte överskrida bönor (Bruchus gränsvärdet för resthalter får rufimanus) färska ärter inte skördas före ärtsmyg utvecklingsstadium (Bruchus BBCH 79 pisorum) och ärtvecklare 1 (2)",5893_Bilaga_Användningsvillkor_2025-06-12.pdf_chunk1,No LLM answer
