Result_Id,Correct_File,Guessed_File,Filename_Match,Correct_Pages,Guessed_Page,Page_Match,Distance,Text_Match_Start_Percent,Match_Length_Start,Text_Match_End_Percent,Match_Length_End,No_match,Match_Threshold,Difficulty,Category,Expected_answer,Question,Returned_Chunk,Chunk_Id,LLM_ANS
DC_4491_001R1,4491_bilaga_villkor_2025-06-17,4491_bilaga_villkor_2025-06-17,True,[1],1,True,0.37848275899887085,0.0,0,0.0,0,True,False,Easy,Mavrik,|Från och med 2025-06-17|Till och med 2028-01-31|,Vad är giltighetstiden för produktgodkännandet av Mavrik?,"Passage: <!-- image -->

## BESLUTSBILAGA

Beslutsdatum 2025-06-17

Produktnamn Mavrik

Diarienr

5.1.1-B25-00218

Aktnr

F-1759

Regnr

4491

## Bilaga 1 - Villkor för förnyat och/eller ändrat produktgodkännande

De uppgifter som har ändrats sedan föregående prövning är markerade med ett [X] till höger på samma rad.",4491_Bilaga_Villkor_2025-06-17.pdf_chunk1,No LLM answer
DC_4491_001R2,4491_bilaga_villkor_2025-06-17,4491_bilaga_villkor_2025-06-17,True,[1],2,False,0.4353909492492676,0.0,0,0.0,0,True,False,Easy,Mavrik,|Från och med 2025-06-17|Till och med 2028-01-31|,Vad är giltighetstiden för produktgodkännandet av Mavrik?,"Passage: <!-- image -->

## BESLUTSBILAGA

Beslutsdatum 2025-06-17

Produktnamn

Mavrik

Diarienr

5.1.1-B25-00218

Aktnr

F-1759

Regnr

4491

## Bilaga 2 - Innehavarens uppgifter om klassificering och märkning enligt CLP",4491_Bilaga_Villkor_2025-06-17.pdf_chunk7,No LLM answer
DC_4491_001R3,4491_bilaga_villkor_2025-06-17,4491_bilaga_villkor_för_användning_2025-06-17,False,[1],1,False,0.46561694145202637,0.0,0,0.0,0,True,False,Easy,Mavrik,|Från och med 2025-06-17|Till och med 2028-01-31|,Vad är giltighetstiden för produktgodkännandet av Mavrik?,"Passage: <!-- image -->

## Beslutsbilaga 3

Datum: 2025-06-17

Aktnr: F-1759

Regnr: 4491

Diarienr: 5.1.1-B25-00218

## Villkor för användning av Mavrik",4491_Bilaga_Villkor_för_användning_2025-06-17.pdf_chunk1,No LLM answer
DC_4491_001R4,4491_bilaga_villkor_2025-06-17,5823_bilaga_villkor_2025-06-24,False,[1],1,False,0.4745206832885742,0.0,0,0.0,0,True,False,Easy,Mavrik,|Från och med 2025-06-17|Till och med 2028-01-31|,Vad är giltighetstiden för produktgodkännandet av Mavrik?,"Passage: Riskbedömningen för produktgodkännandet baserar sig på godkännandet för Imtrex XE med registreringsnummer 5532.

Mall-id: RSP-0002-S\_Vaxt, 2020-12-18",5823_Bilaga_Villkor_2025-06-24.pdf_chunk6,No LLM answer
DC_4491_001R5,4491_bilaga_villkor_2025-06-17,4491_bilaga_villkor_2025-06-17,True,[1],1,True,0.4786120057106018,0.0,0,0.0,0,True,False,Easy,Mavrik,|Från och med 2025-06-17|Till och med 2028-01-31|,Vad är giltighetstiden för produktgodkännandet av Mavrik?,"Passage: |                         |                                                                                                                                                                                                                                                                   | Ändring   |
|-------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------|
| Typ av bekämpningsmedel | Växtskyddsmedel                                                                                                                                                                                                                                                   |           |
| Produktnamn             | Mavrik                                                                                                                                                                                                                                                            |           |
| Registreringsnummer     | 4491                                                                                                                                                                                                                                                              |           |
| Behörighetsklass        | 2 L                                                                                                                                                                                                                                                               |           |",4491_Bilaga_Villkor_2025-06-17.pdf_chunk2,No LLM answer
DC_4491_002R1,4491_bilaga_villkor_för_användning_2025-06-17,4491_bilaga_villkor_2025-06-17,False,"[1, 2, 3]",1,False,0.4749382734298706,0.0,0,0.0,0,True,False,Easy,Mavrik,"|Höstvete, höstråg, höstrågvete och höstkorn|Vårvete, vårråg, vårrågvete, vårkorn och havre|Lin, raps och rybs|Raps och rybs|Potatis|Ärtor - färska|Ärtor - torkade|Bönor - torkade|Huvudkål, brysselkål, blomkål och broccoli|Äpple och päron|Morot|Socker-, foder- och rödbetor|",Vilka grödor får Mavrik användas på?,"Passage: |                         |                                                                                                                                                                                                                                                                   | Ändring   |
|-------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------|
| Typ av bekämpningsmedel | Växtskyddsmedel                                                                                                                                                                                                                                                   |           |
| Produktnamn             | Mavrik                                                                                                                                                                                                                                                            |           |
| Registreringsnummer     | 4491                                                                                                                                                                                                                                                              |           |
| Behörighetsklass        | 2 L                                                                                                                                                                                                                                                               |           |",4491_Bilaga_Villkor_2025-06-17.pdf_chunk2,No LLM answer
DC_4491_002R2,4491_bilaga_villkor_för_användning_2025-06-17,4491_bilaga_villkor_för_användning_2025-06-17,True,"[1, 2, 3]",1,True,0.496981143951416,0.0,0,0.0,0,True,False,Easy,Mavrik,"|Höstvete, höstråg, höstrågvete och höstkorn|Vårvete, vårråg, vårrågvete, vårkorn och havre|Lin, raps och rybs|Raps och rybs|Potatis|Ärtor - färska|Ärtor - torkade|Bönor - torkade|Huvudkål, brysselkål, blomkål och broccoli|Äpple och päron|Morot|Socker-, foder- och rödbetor|",Vilka grödor får Mavrik användas på?,"Passage: <!-- image -->

## Beslutsbilaga 3

Datum: 2025-06-17

Aktnr: F-1759

Regnr: 4491

Diarienr: 5.1.1-B25-00218

## Villkor för användning av Mavrik",4491_Bilaga_Villkor_för_användning_2025-06-17.pdf_chunk1,No LLM answer
DC_4491_002R3,4491_bilaga_villkor_för_användning_2025-06-17,5411_bilaga_villkor_för_användning_2025-07-01,False,"[1, 2, 3]",1,False,0.5513627529144287,0.0,0,0.0,0,True,False,Easy,Mavrik,"|Höstvete, höstråg, höstrågvete och höstkorn|Vårvete, vårråg, vårrågvete, vårkorn och havre|Lin, raps och rybs|Raps och rybs|Potatis|Ärtor - färska|Ärtor - torkade|Bönor - torkade|Huvudkål, brysselkål, blomkål och broccoli|Äpple och päron|Morot|Socker-, foder- och rödbetor|",Vilka grödor får Mavrik användas på?,"Passage: | Sockerbetor och foderbetor |               | Mot ogräs | Bomspruta                        | BBCH 10-16                       | 3 per år                   | 5                                           |                                             | 0,6 L/ha                                                     | 200 g dimetenamid-P/ha 100 g kinmerak/ha                     | Totala maximala dosen får inte överskrida 1,5 L produkt per hektar och år. Betblasten får inte användas till foder. |           |",5411_Bilaga_Villkor_för_användning_2025-07-01.pdf_chunk5,No LLM answer
DC_4491_002R4,4491_bilaga_villkor_för_användning_2025-06-17,4491_bilaga_villkor_2025-06-17,False,"[1, 2, 3]",2,False,0.5642377734184265,0.0,0,0.0,0,True,False,Easy,Mavrik,"|Höstvete, höstråg, höstrågvete och höstkorn|Vårvete, vårråg, vårrågvete, vårkorn och havre|Lin, raps och rybs|Raps och rybs|Potatis|Ärtor - färska|Ärtor - torkade|Bönor - torkade|Huvudkål, brysselkål, blomkål och broccoli|Äpple och päron|Morot|Socker-, foder- och rödbetor|",Vilka grödor får Mavrik användas på?,"Passage: <!-- image -->

## BESLUTSBILAGA

Beslutsdatum 2025-06-17

Produktnamn

Mavrik

Diarienr

5.1.1-B25-00218

Aktnr

F-1759

Regnr

4491

## Bilaga 2 - Innehavarens uppgifter om klassificering och märkning enligt CLP",4491_Bilaga_Villkor_2025-06-17.pdf_chunk7,No LLM answer
DC_4491_002R5,4491_bilaga_villkor_för_användning_2025-06-17,5345_beslut_villkor_för_användning_2025-06-24,False,"[1, 2, 3]",1,False,0.5677639842033386,0.0,0,0.0,0,True,False,Easy,Mavrik,"|Höstvete, höstråg, höstrågvete och höstkorn|Vårvete, vårråg, vårrågvete, vårkorn och havre|Lin, raps och rybs|Raps och rybs|Potatis|Ärtor - färska|Ärtor - torkade|Bönor - torkade|Huvudkål, brysselkål, blomkål och broccoli|Äpple och päron|Morot|Socker-, foder- och rödbetor|",Vilka grödor får Mavrik användas på?,"Passage: | Vete, korn, råg, rågvete och havre |               | Mot svamp- angrepp | Bomspruta                        | BBCH 30 - 69                     | 2 per år                   | 7                                           | 35                                         | 1,5L/ha                                                      | 112,5 g fluxapyroxad/ha 225 g pyraklostrobin/ha              | Den totala maximala dosen får inte överstiga 1,5 L produkt/ha. |           | ## Ytterligare villkor",5345_Beslut_Villkor_för_användning_2025-06-24.pdf_chunk5,No LLM answer
