Result_Id,Correct_File,Guessed_File,Filename_Match,Correct_Pages,Guessed_Page,Page_Match,Distance,Text_Match_Start_Percent,Match_Length_Start,Text_Match_End_Percent,Match_Length_End,No_match,Match_Threshold,Difficulty,Category,Expected_answer,Question,Returned_Chunk,Chunk_Id,LLM_ANS
DC_4491_001R1,4491_bilaga_villkor_2025-06-17,4491_bilaga_villkor_2025-06-17,True,[1],"1,2",True,0.39754265546798706,100.0,49,100.0,49,False,True,Easy,Mavrik,|Från och med 2025-06-17|Till och med 2028-01-31|,Vad är giltighetstiden för produktgodkännandet av Mavrik?,"BESLUTSBILAGA Beslutsdatum 2025-06-17 Produktnamn Mavrik Diarienr 5.1.1-B25-00218 Aktnr F-1759 Regnr 4491 Bilaga 1 ‒ Villkor för förnyat och/eller ändrat produktgodkännande De uppgifter som har ändrats sedan föregående prövning är markerade med ett [X] till höger på samma |rad.|Col2|Col3|Col4| |---|---|---|---| ||||Ändring| |Typ av bekämpningsmedel|Växtskyddsmedel||| |Produktnamn|Mavrik||| |Registreringsnummer|4491||| |Behörighetsklass|2 L||| |Giltighetstid|Från och med 2025-06-17|Till och med 2028-01-31|X| |Innehavare|ADAMA Registrations B.V. P.O. Box. 355 NL-3830 AK Leusden NEDERLÄNDERNA||| |Ombud|---||| |Funktion|IN – Insekticid||| |Produktkod|MCW-5022||| |Beredningsform|EW-Emulsion, olja i vatten||| |Förpackningsvillkor|Upp till 5 L HDPE-förpackningar.||| |Märkningskrav|Sista användningsdag vid rekommenderade lagringsförhållanden ska anges i märkningen. Av märkningen ska framgå att hållbarheten är begränsad och att sista användningsdag är 2 år efter tillverkning. SP1 Förorena inte vatten med produkten eller dess behållare.||| |Verksamma ämnen|Cas-nr|Halt|Enhet|Kandidat- ämne för substitution|Lågrisk- ämne|Ändring| |---|---|---|---|---|---|---| |Tau-fluvalinat|102851-06-9|240|g/l|||| Upplysningar -Mall-id: RSP-0002-S_Vaxt, 2020-12-18 1(2) BESLUTSBILAGA Beslutsdatum 2025-06-17 Produktnamn Mavrik Diarienr 5.1.1-B25-00218 Aktnr F-1759 Regnr 4491 Bilaga 2 ‒ Innehavarens uppgifter om klassificering och märkning enligt CLP Här redovisas innehavarens uppgifter om produktens klassificering och märkning enligt förordning (EG) nr 1272/2008 (CLP). De uppgifter som har ändrats sedan föregående prövning är markerade med ett [X] till höger på samma rad. Ämnen av betydelse för klassificerin g och märknin g |Ämnesnamn|Cas-nr|Typ|Ändring| |---|---|---|---| |Tau-fluvalinat|102851-06-9|Verksamt ämne|| |Klassificering|Col2| |---|---| |Faroklass och farokategori|Ändring| |4.1 Farligt för vattenmiljön, akut fara - Kategori: Akut 1|| |4.1 Farligt för vattenmiljön, fara för skadliga långtidseffekter - Kategori: Kronisk 1|| |Märkning|Col2| |---|---| |Faroangivelser|Ändring| |H410 Mycket giftigt för vattenlevande organismer med långtidseffekter|| |EUH401 För att undvika risker för människors hälsa och för miljön, följ bruksanvisningen.|| |Skyddsangivelser|Ändring| |---|---| |P501 Innehållet och behållaren lämnas till godkänd avfallsmottagare.|| |Piktogram och signalord|Ändring| |---|---| |GHS09 Varning|| Mall-id: RSP-0002-S_Vaxt, 2020-12-18 2(2)",4491_Bilaga_Villkor_2025-06-17.pdf_chunk1,No LLM answer
DC_4491_001R2,4491_bilaga_villkor_2025-06-17,4491_bilaga_villkor_för_användning_2025-06-17,False,[1],1,False,0.48825985193252563,0.0,0,0.0,0,True,False,Easy,Mavrik,|Från och med 2025-06-17|Till och med 2028-01-31|,Vad är giltighetstiden för produktgodkännandet av Mavrik?,"**Beslutsbilaga 3** Datum: 2025-06-17 Aktnr: F-1759 Regnr: 4491 Diarienr: 5.1.1-B25-00218 # **Villkor för användning av Mavrik ** De beslutade villkoren riktar sig till innehavaren av produktgodkännandet. Ändringar sedan förra produktgodkännandet är markerade med X. Som användare är du skyldig att följa växtskyddsmedlets etikett och bruksanvisning. ## **Användning och syfte ** |Gröda/ situation|Var/ område|Syfte|Behandlings- utrustning/ metod|Utvecklings- stadium/ tidpunkt|Max antal behand- lingar|Minst antal dagar mellan varje behandling|Minst antal dagar mellan sista behandling och skörd|Max dos vid en enskild behandling på den yta som behandlas|Col10|Övriga villkor och förtydliganden|Ändring| |---|---|---|---|---|---|---|---|---|---|---|---| |||||||||Produkt|Verksamt ämne||| |Höstvete, höstråg, höstrågvete och höstkorn||Mot insekts- angrepp|Bomspruta|BBCH 10–75|3 per säsong|10|30|0,2 L/ha|48 g tau- fluvalinat/ha|Max 1 applicering på hösten och 2 appliceringar på våren|| |Vårvete, vårråg, vårrågvete, vårkorn och havre||Mot insekts- angrepp|Bomspruta|BBCH 10–75|2 per år|10|30|0,2 L/ha|48 g tau- fluvalinat/ha||| |Lin, raps och rybs||Mot insekts- angrepp|Bomspruta|BBCH 10–19|1 per år||60|0,2 L/ha|48 g tau- fluvalinat/ha||| |Raps och rybs||Mot insekts- angrepp|Bomspruta|BBCH 30–71|2 per år|7|60|0,2 L/ha|48 g tau- fluvalinat/ha||| |Potatis||Mot insekts- angrepp|Bomspruta|BBCH 12–49|2 per år|14|7|0,2 L/ha|48 g tau- fluvalinat/ha||| |Ärtor - färska||Mot insekts- angrepp|Bomspruta|BBCH 10–79|2 per år|14|7|0,2 L/ha|48 g tau- fluvalinat/ha||| |Ärtor - torkade||Mot insekts- angrepp|Bomspruta|BBCH 10–79|2 per år|14|14|0,2 L/ha|48 g tau- fluvalinat/ha||| 1 (4)",4491_Bilaga_Villkor_för_användning_2025-06-17.pdf_chunk1,No LLM answer
DC_4491_001R3,4491_bilaga_villkor_2025-06-17,5584_bilaga_villkor_2025-06-25,False,[1],1,False,0.5008227825164795,44.89795918367347,22,8.16326530612245,4,False,True,Easy,Mavrik,|Från och med 2025-06-17|Till och med 2028-01-31|,Vad är giltighetstiden för produktgodkännandet av Mavrik?,"BESLUTSBILAGA Beslutsdatum 2025-06-25 Produktnamn Revystar XL Diarienr 5.1.1-B25-00259 Aktnr F-4650 Regnr 5584 Bilaga 1 ‒ Villkor för förnyat och/eller ändrat produktgodkännande De uppgifter som har ändrats sedan föregående prövning är markerade med ett [X] till höger på samma |rad.|Col2|Col3|Col4| |---|---|---|---| ||||Ändring| |Typ av bekämpningsmedel|Växtskyddsmedel||| |Produktnamn|Revystar XL||| |Registreringsnummer|5584||| |Behörighetsklass|2 L||| |Giltighetstid|Från och med 2025-06-25|Till och med 2026-05-31|X| |Innehavare|BASF AB Box 7144 402 33 Göteborg||| |Ombud|BASF A/S Kalvebod Brygge 45, 2 DK-1560 København V DANMARK||| |Funktion|FU – Fungicid||| |Produktkod|BAS 752 00 F||| |Beredningsform|EC-Emulgerbart koncentrat||| |Förpackningsvillkor|HDPE-förpackning max 50 L||| |Märkningskrav|SP1 Förorena inte vatten med produkten eller dess behållare. Mefentriflukonazol ger upphov till bildandet av 1,2,4-triazol.||| |Verksamma ämnen|Cas-nr|Halt|Enhet|Kandidat- ämne för substitution|Lågrisk- ämne|Ändring| |---|---|---|---|---|---|---| |Mefentriflukonazol|1417782-03- 6|100|g/l|||| |Fluxapyroxad|907204-31-3|50|g/l|||| Upplysningar -Mall-id: RSP-0002-S_Vaxt, 2020-12-18 1(4)",5584_Bilaga_Villkor_2025-06-25.pdf_chunk1,No LLM answer
DC_4491_001R4,4491_bilaga_villkor_2025-06-17,5313_bilaga_villkor_2025-06-16,False,[1],"1,2",False,0.5044527053833008,46.93877551020408,23,0.0,0,False,False,Easy,Mavrik,|Från och med 2025-06-17|Till och med 2028-01-31|,Vad är giltighetstiden för produktgodkännandet av Mavrik?,"BESLUTSBILAGA Beslutsdatum 2025-06-16 Produktnamn RAK3+4 Aktnr F-4408 Diarienr 5.1.1-B25-00293 Regnr 5313 Bilaga 1 ‒ Villkor för förnyat och/eller ändrat produktgodkännande De uppgifter som har ändrats sedan föregående prövning är markerade med ett [X] till höger på samma |rad.|Col2|Col3|Col4| |---|---|---|---| ||||Ändring| |Typ av bekämpningsmedel|Växtskyddsmedel||| |Produktnamn|RAK3+4||| |Registreringsnummer|5313||| |Behörighetsklass|2 L||| |Giltighetstid|Från och med 2025-06-16|Till och med 2027-09-30|X| |Innehavare|BASF AB Box 7144 402 33 Göteborg||| |Ombud|BASF A/S Kalvebod Brygge 45, 2 DK-1560 København V DANMARK||| |Funktion|AT – Attrahent (attraktant) IN – Insekticid||| |Produktkod|BAS 295 02 I||| |Beredningsform|VP-Preparat som avger verksam beståndsdel i gasform||| |Förpackningsvillkor|Dispenser av etylen-vinylacetat co-polymer (EVA) med två kammare. Max 3 mL vardera. Ytterförpackning i form av LDPE foliepåse.||| |Märkningskrav|Av märkningen ska framgå att hållbarheten är begränsad och att sista användningsdag vid rekommenderade lagringsförhållanden är 12 månader efter tillverkningsdatum. Av märkningen ska framgå att produkten inte får förvaras i en temperatur som överstiger -18°C. Av märkningen ska framgå att ampullerna ska förvaras i obruten ytterförpackning. När ytterförpackningen har brutits ska ampullerna användas omgående. Överblivna ampuller ska destrueras. SP1 Förorena inte vatten med produkten eller dess behållare.||| |Verksamma ämnen|Cas-nr|Halt|Enhet|Kandidat- ämne för substitution|Lågrisk- ämne|Ändring| |---|---|---|---|---|---|---| |E,E-8,10-Dodekadien-1-ol|33956-49-9|35|vikt- %|||| |(Z)-11-tetradecen-1-yl acetat|20711-10-8|37|vikt- %|||| Mall-id: RSP-0002-S_Vaxt, 2020-12-18 1(4) BESLUTSBILAGA Beslutsdatum 2025-06-16 Produktnamn RAK3+4 Tetradekylacetat 638-59-5 17,1 vikt% Upplysningar -Mall-id: RSP-0002-S_Vaxt, 2020-12-18 2(4) Diarienr 5.1.1-B25-00293 Aktnr F-4408 Regnr 5313",5313_Bilaga_Villkor_2025-06-16.pdf_chunk1,No LLM answer
DC_4491_001R5,4491_bilaga_villkor_2025-06-17,5345_bilaga_villkor_2025-06-24,False,[1],1,False,0.5091949701309204,44.89795918367347,22,8.16326530612245,4,False,True,Easy,Mavrik,|Från och med 2025-06-17|Till och med 2028-01-31|,Vad är giltighetstiden för produktgodkännandet av Mavrik?,"BESLUTSBILAGA Beslutsdatum 2025-06-24 Produktnamn Priaxor Aktnr F-4507 Diarienr 5.1.1-B25-00258 Regnr 5345 Bilaga 1 ‒ Villkor för förnyat och/eller ändrat produktgodkännande De uppgifter som har ändrats sedan föregående prövning är markerade med ett [X] till höger på samma |rad.|Col2|Col3|Col4| |---|---|---|---| ||||Ändring| |Typ av bekämpningsmedel|Växtskyddsmedel||| |Produktnamn|Priaxor||| |Registreringsnummer|5345||| |Behörighetsklass|2 L||| |Giltighetstid|Från och med 2025-06-24|Till och med 2026-05-31|X| |Innehavare|BASF AB Box 7144 402 33 Göteborg||| |Ombud|BASF A/S Kalvebod Brygge 45, 2 DK-1560 København V DANMARK||| |Funktion|FU – Fungicid||| |Produktkod|BAS 703 07 F||| |Beredningsform|EC-Emulgerbart koncentrat||| |Förpackningsvillkor|Coextruderad PA/PE-förpackning max 10 L||| |Märkningskrav|SP1 Förorena inte vatten med produkten eller dess behållare.||| |Verksamma ämnen|Cas-nr|Halt|Enhet|Kandidat- ämne för substitution|Lågrisk- ämne|Ändring| |---|---|---|---|---|---|---| |Pyraklostrobin|175013-18-0|150|g/l|||| |Fluxapyroxad|907204-31-3|75|g/l|||| Upplysningar -Mall-id: RSP-0002-S_Vaxt, 2020-12-18 1(3)",5345_Bilaga_Villkor_2025-06-24.pdf_chunk1,No LLM answer
DC_4491_002R1,4491_bilaga_villkor_för_användning_2025-06-17,4491_bilaga_villkor_för_användning_2025-06-17,True,"[1, 2, 3]",1,True,0.4606614112854004,16.423357664233578,45,0.0,0,False,False,Easy,Mavrik,"|Höstvete, höstråg, höstrågvete och höstkorn|Vårvete, vårråg, vårrågvete, vårkorn och havre|Lin, raps och rybs|Raps och rybs|Potatis|Ärtor - färska|Ärtor - torkade|Bönor - torkade|Huvudkål, brysselkål, blomkål och broccoli|Äpple och päron|Morot|Socker-, foder- och rödbetor|",Vilka grödor får Mavrik användas på?,"**Beslutsbilaga 3** Datum: 2025-06-17 Aktnr: F-1759 Regnr: 4491 Diarienr: 5.1.1-B25-00218 # **Villkor för användning av Mavrik ** De beslutade villkoren riktar sig till innehavaren av produktgodkännandet. Ändringar sedan förra produktgodkännandet är markerade med X. Som användare är du skyldig att följa växtskyddsmedlets etikett och bruksanvisning. ## **Användning och syfte ** |Gröda/ situation|Var/ område|Syfte|Behandlings- utrustning/ metod|Utvecklings- stadium/ tidpunkt|Max antal behand- lingar|Minst antal dagar mellan varje behandling|Minst antal dagar mellan sista behandling och skörd|Max dos vid en enskild behandling på den yta som behandlas|Col10|Övriga villkor och förtydliganden|Ändring| |---|---|---|---|---|---|---|---|---|---|---|---| |||||||||Produkt|Verksamt ämne||| |Höstvete, höstråg, höstrågvete och höstkorn||Mot insekts- angrepp|Bomspruta|BBCH 10–75|3 per säsong|10|30|0,2 L/ha|48 g tau- fluvalinat/ha|Max 1 applicering på hösten och 2 appliceringar på våren|| |Vårvete, vårråg, vårrågvete, vårkorn och havre||Mot insekts- angrepp|Bomspruta|BBCH 10–75|2 per år|10|30|0,2 L/ha|48 g tau- fluvalinat/ha||| |Lin, raps och rybs||Mot insekts- angrepp|Bomspruta|BBCH 10–19|1 per år||60|0,2 L/ha|48 g tau- fluvalinat/ha||| |Raps och rybs||Mot insekts- angrepp|Bomspruta|BBCH 30–71|2 per år|7|60|0,2 L/ha|48 g tau- fluvalinat/ha||| |Potatis||Mot insekts- angrepp|Bomspruta|BBCH 12–49|2 per år|14|7|0,2 L/ha|48 g tau- fluvalinat/ha||| |Ärtor - färska||Mot insekts- angrepp|Bomspruta|BBCH 10–79|2 per år|14|7|0,2 L/ha|48 g tau- fluvalinat/ha||| |Ärtor - torkade||Mot insekts- angrepp|Bomspruta|BBCH 10–79|2 per år|14|14|0,2 L/ha|48 g tau- fluvalinat/ha||| 1 (4)",4491_Bilaga_Villkor_för_användning_2025-06-17.pdf_chunk1,No LLM answer
DC_4491_002R2,4491_bilaga_villkor_för_användning_2025-06-17,4491_bilaga_villkor_2025-06-17,False,"[1, 2, 3]","1,2",False,0.4953538179397583,0.0,0,0.0,0,True,False,Easy,Mavrik,"|Höstvete, höstråg, höstrågvete och höstkorn|Vårvete, vårråg, vårrågvete, vårkorn och havre|Lin, raps och rybs|Raps och rybs|Potatis|Ärtor - färska|Ärtor - torkade|Bönor - torkade|Huvudkål, brysselkål, blomkål och broccoli|Äpple och päron|Morot|Socker-, foder- och rödbetor|",Vilka grödor får Mavrik användas på?,"BESLUTSBILAGA Beslutsdatum 2025-06-17 Produktnamn Mavrik Diarienr 5.1.1-B25-00218 Aktnr F-1759 Regnr 4491 Bilaga 1 ‒ Villkor för förnyat och/eller ändrat produktgodkännande De uppgifter som har ändrats sedan föregående prövning är markerade med ett [X] till höger på samma |rad.|Col2|Col3|Col4| |---|---|---|---| ||||Ändring| |Typ av bekämpningsmedel|Växtskyddsmedel||| |Produktnamn|Mavrik||| |Registreringsnummer|4491||| |Behörighetsklass|2 L||| |Giltighetstid|Från och med 2025-06-17|Till och med 2028-01-31|X| |Innehavare|ADAMA Registrations B.V. P.O. Box. 355 NL-3830 AK Leusden NEDERLÄNDERNA||| |Ombud|---||| |Funktion|IN – Insekticid||| |Produktkod|MCW-5022||| |Beredningsform|EW-Emulsion, olja i vatten||| |Förpackningsvillkor|Upp till 5 L HDPE-förpackningar.||| |Märkningskrav|Sista användningsdag vid rekommenderade lagringsförhållanden ska anges i märkningen. Av märkningen ska framgå att hållbarheten är begränsad och att sista användningsdag är 2 år efter tillverkning. SP1 Förorena inte vatten med produkten eller dess behållare.||| |Verksamma ämnen|Cas-nr|Halt|Enhet|Kandidat- ämne för substitution|Lågrisk- ämne|Ändring| |---|---|---|---|---|---|---| |Tau-fluvalinat|102851-06-9|240|g/l|||| Upplysningar -Mall-id: RSP-0002-S_Vaxt, 2020-12-18 1(2) BESLUTSBILAGA Beslutsdatum 2025-06-17 Produktnamn Mavrik Diarienr 5.1.1-B25-00218 Aktnr F-1759 Regnr 4491 Bilaga 2 ‒ Innehavarens uppgifter om klassificering och märkning enligt CLP Här redovisas innehavarens uppgifter om produktens klassificering och märkning enligt förordning (EG) nr 1272/2008 (CLP). De uppgifter som har ändrats sedan föregående prövning är markerade med ett [X] till höger på samma rad. Ämnen av betydelse för klassificerin g och märknin g |Ämnesnamn|Cas-nr|Typ|Ändring| |---|---|---|---| |Tau-fluvalinat|102851-06-9|Verksamt ämne|| |Klassificering|Col2| |---|---| |Faroklass och farokategori|Ändring| |4.1 Farligt för vattenmiljön, akut fara - Kategori: Akut 1|| |4.1 Farligt för vattenmiljön, fara för skadliga långtidseffekter - Kategori: Kronisk 1|| |Märkning|Col2| |---|---| |Faroangivelser|Ändring| |H410 Mycket giftigt för vattenlevande organismer med långtidseffekter|| |EUH401 För att undvika risker för människors hälsa och för miljön, följ bruksanvisningen.|| |Skyddsangivelser|Ändring| |---|---| |P501 Innehållet och behållaren lämnas till godkänd avfallsmottagare.|| |Piktogram och signalord|Ändring| |---|---| |GHS09 Varning|| Mall-id: RSP-0002-S_Vaxt, 2020-12-18 2(2)",4491_Bilaga_Villkor_2025-06-17.pdf_chunk1,No LLM answer
DC_4491_002R3,4491_bilaga_villkor_för_användning_2025-06-17,5584_bilaga_villkor_för_användning_2025-06-25,False,"[1, 2, 3]","1,2",False,0.5605774521827698,1.8248175182481752,5,0.0,0,False,False,Easy,Mavrik,"|Höstvete, höstråg, höstrågvete och höstkorn|Vårvete, vårråg, vårrågvete, vårkorn och havre|Lin, raps och rybs|Raps och rybs|Potatis|Ärtor - färska|Ärtor - torkade|Bönor - torkade|Huvudkål, brysselkål, blomkål och broccoli|Äpple och päron|Morot|Socker-, foder- och rödbetor|",Vilka grödor får Mavrik användas på?,"**Beslutsbilaga 3** Datum: 2025-06-25 Aktnr: F-4650 Regnr: 5584 Diarienr: 5.1.1-B25-00259 # **Villkor för användning av Revystar XL ** De beslutade villkoren riktar sig till innehavaren av produktgodkännandet. Ändringar sedan förra produktgodkännandet är markerade med X. Som användare är du skyldig att följa växtskyddsmedlets etikett och bruksanvisning. ## **Användning och syfte ** |Gröda/ situation|Var/ område|Syfte|Behandlings- utrustning/ metod|Utvecklings- stadium/ tidpunkt|Max antal behand- lingar|Minst antal dagar mellan varje behandling|Minst antal dagar mellan sista behandling och skörd|Max dos vid en enskild behandling på den yta som behandlas|Col10|Övriga villkor och förtydliganden|Ändring| |---|---|---|---|---|---|---|---|---|---|---|---| |||||||||Produkt|Verksamt ämne||| |Vete, korn och rågvete||Mot svamp- angrepp|Bomspruta|BBCH 30–69|2 per år|14|35|1,5 L/ha|150 g mefentriflukonazol /ha|Totala maximala dosen får inte överskrida 1,5 L/ha och år.|| |Höstråg||Mot svamp- angrepp|Bomspruta|BBCH 30–69|1 per år||35|1,5 L/ha|150 g mefentriflukonazol /ha||| |Havre||Mot svamp- angrepp|Bomspruta|BBCH 30–69|1 per år||35|1,5 L/ha|150 g mefentriflukonazol /ha||| |Socker- och foderbeta||Mot svamp- angrepp|Bomspruta|BBCH 39–49|2 per år|14|28|1,0 L/ha|100 g mefentriflukonazol /ha||| 1 (2) Datum: : 2025-06-25 Regnr: 5584 Aktnr: F-4650 Diarienr: 5.1.1-B25-00259 ## **Ytterligare villkor ** |Kategori|Villkor|Anmärkning|Ändring| |---|---|---|---| |Personlig skyddsutrustning|Skyddshandskar, skyddskläder och ögonskydd ska användas vid hantering av produkten. Skyddshandskar ska användas vid arbetsmoment som innebär risk för kontakt med brukslösning eller sprutdimma. Andra hälsoskyddsåtgärder får användas om de ger minst motsvarande skydd.|Villkoret är till för att skydda mot växtskyddsmedlets hälsorisker|| |Vid återinträde i behandlade områden|Skyddshandskar och arbetskläder (som täcker armar, ben och bål) ska användas vid återinträde i behandlade områden under de första 48 timmarna efter behandling. Därefter ska arbetskläder (som täcker armar, ben och bål) användas i ytterligare 28 dygn vid återinträde i behandlade områden. Andra hälsoskyddsåtgärder får användas om de ger minst motsvarande skydd.|Villkoret är till för att skydda mot växtskyddsmedlets hälsorisker.|| 2 (2)",5584_Bilaga_Villkor_för_användning_2025-06-25.pdf_chunk1,No LLM answer
DC_4491_002R4,4491_bilaga_villkor_för_användning_2025-06-17,5411_bilaga_villkor_för_användning_2025-07-01,False,"[1, 2, 3]",1,False,0.5680644512176514,0.0,0,2.18978102189781,6,False,False,Easy,Mavrik,"|Höstvete, höstråg, höstrågvete och höstkorn|Vårvete, vårråg, vårrågvete, vårkorn och havre|Lin, raps och rybs|Raps och rybs|Potatis|Ärtor - färska|Ärtor - torkade|Bönor - torkade|Huvudkål, brysselkål, blomkål och broccoli|Äpple och päron|Morot|Socker-, foder- och rödbetor|",Vilka grödor får Mavrik användas på?,"**Beslutsbilaga 3** Datum: 2025-07-01 Aktnr: F-4339 Regnr: 5411 Diarienr: 5.1.1-B25-00298 # **Villkor för användning av Tanaris ** De beslutade villkoren riktar sig till innehavaren av produktgodkännandet. Ändringar sedan förra produktgodkännandet är markerade med X. Som användare är du skyldig att följa växtskyddsmedlets etikett och bruksanvisning. ## **Användning och syfte ** |Gröda/ situation|Var/ område|Syfte|Behandlings- utrustning/ metod|Utvecklings- stadium/ tidpunkt|Max antal behand- lingar|Minst antal dagar mellan varje behandling|Minst antal dagar mellan sista behandling och skörd|Max dos vid en enskild behandling på den yta som behandlas|Col10|Övriga villkor och förtydliganden|Ändring| |---|---|---|---|---|---|---|---|---|---|---|---| |||||||||Produkt|Verksamt ämne||| |Sockerbetor och foderbetor||Mot ogräs|Bomspruta|BBCH 10–16|3 per år|5||0,6 L/ha|200 g dimetenamid-P/ha 100 g kinmerak/ha|Totala maximala dosen får inte överskrida 1,5 L produkt per hektar och år. Betblasten får inte användas till foder.|| |Vårraps||Mot ogräs|Bomspruta|BBCH 10–18|1 per år|||1,5 L/ha|500 g dimetenamid-P/ha 250 g kinmerak/ha||| ## **Ytterligare villkor ** |Kategori|Villkor|Anmärkning|Ändring| |---|---|---|---| |Anpassade skyddsavstånd vid spridning|Ett anpassat skyddsavstånd ska bestämmas med hjälp av ”Hjälpreda vid bestämning av anpassade skyddsavstånd. Lantbruksspruta med bom.”|Villkoret är till för att skydda växter utanför fältet samt för att skydda människor i närområdet.|X| |Personlig skyddsutrustning|Skyddshandskar och skyddsglasögon ska användas vid hantering av produkten. Skyddshandskar ska användas vid arbetsmoment som innebär risk för kontakt med brukslösning eller sprutdimma. Andra hälsoskyddsåtgärder får användas om de ger minst motsvarande skydd.|Villkoret är till för att skydda mot växtskyddsmedlets hälsorisker.|X| 1 (1)",5411_Bilaga_Villkor_för_användning_2025-07-01.pdf_chunk1,No LLM answer
DC_4491_002R5,4491_bilaga_villkor_för_användning_2025-06-17,5345_beslut_villkor_för_användning_2025-06-24,False,"[1, 2, 3]",1,False,0.5706601142883301,0.0,0,0.0,0,True,False,Easy,Mavrik,"|Höstvete, höstråg, höstrågvete och höstkorn|Vårvete, vårråg, vårrågvete, vårkorn och havre|Lin, raps och rybs|Raps och rybs|Potatis|Ärtor - färska|Ärtor - torkade|Bönor - torkade|Huvudkål, brysselkål, blomkål och broccoli|Äpple och päron|Morot|Socker-, foder- och rödbetor|",Vilka grödor får Mavrik användas på?,"**Beslutsbilaga 3** Datum: 2025-06-24 Aktnr: F-4507 Regnr: 5345 Diarienr: 5.1.1-B25-00258 # **Villkor för användning av Priaxor ** De beslutade villkoren riktar sig till innehavaren av produktgodkännandet. Ändringar sedan förra produktgodkännandet är markerade med X. Som användare är du skyldig att följa växtskyddsmedlets etikett och bruksanvisning. ## **Användning och syfte ** |Gröda/ situation|Var/ område|Syfte|Behandlings- utrustning/ metod|Utvecklings- stadium/ tidpunkt|Max antal behand- lingar|Minst antal dagar mellan varje behandling|Minst antal dagar mellan sista behandling och skörd|Max dos vid en enskild behandling på den yta som behandlas|Col10|Övriga villkor och förtydliganden|Ändring| |---|---|---|---|---|---|---|---|---|---|---|---| |||||||||Produkt|Verksamt ämne||| |Vete, korn, råg, rågvete och havre||Mot svamp- angrepp|Bomspruta|BBCH 30–69|2 per år|7|35|1,5L/ha|112,5 g fluxapyroxad/ha 225 g pyraklostrobin/ha|Den totala maximala dosen får inte överstiga 1,5 L produkt/ha.|| ## **Ytterligare villkor ** |Kategori|Villkor|Anmärkning|Ändring| |---|---|---|---| |Anpassade skyddsavstånd vid spridning|Ett anpassat skyddsavstånd ska bestämmas med hjälp av ”Hjälpreda vid bestämning av anpassade skyddsavstånd. Lantbruksspruta med bom”.|Villkoret är till för att skydda vattenlevande organismer.|| |Personlig skyddsutrustning|Skyddshandskar och skyddskläder ska användas vid hantering av produkten samt vid arbetsmoment som innebär risk för kontakt med brukslösning eller sprutdimma. Andra hälsoskyddsåtgärder får användas om de ger minst motsvarande skydd.|Villkoret är till för att skydda mot växtskyddsmedlets hälsorisker.|| 1 (1)",5345_Beslut_Villkor_för_användning_2025-06-24.pdf_chunk1,No LLM answer
